"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","negLogP","sig"
4.53998500803672e-11,0.488665514494308,0.39,0.136,1.07534084900358e-06,"MLLT4-AS1",5.96845385632632,"Significant"
4.54742904301012e-11,0.622839817444933,0.498,0.219,1.07710404312738e-06,"TXLNG2P",5.96774234389451,"Significant"
4.659808487869e-11,0.29090240121772,0.613,0.278,1.10372223843665e-06,"MYO6",5.95714020694362,"Significant"
4.67673506791107e-11,0.615215038933774,0.256,0.062,1.10773146818542e-06,"FAM138D",5.95556550677334,"Significant"
4.72526669100092e-11,0.269655412900261,0.61,0.287,1.11922666843048e-06,"PVR",5.95108195021904,"Significant"
4.94163658556474e-11,0.720885990114597,0.296,0.086,1.17047604165686e-06,"LOC339975",5.93163747140154,"Significant"
5.04502577712126e-11,0.493546213440969,0.85,0.522,1.19496480556894e-06,"MOCS3",5.92264488548763,"Significant"
5.0633465514517e-11,0.495462710180493,0.697,0.37,1.19930426417685e-06,"SPDYE2L",5.9210706221642,"Significant"
5.0633465514517e-11,0.495462710180493,0.697,0.37,1.19930426417685e-06,"SPDYE2",5.9210706221642,"Significant"
5.2846064627513e-11,0.259447582649572,0.509,0.219,1.25171188676727e-06,"CDK19",5.90249562351097,"Significant"
5.3895886065637e-11,0.305122778463244,0.664,0.318,1.27657795735068e-06,"C6orf132",5.89395265879672,"Significant"
5.42723844443187e-11,0.377859772177911,0.695,0.352,1.28549569794813e-06,"FAM84B",5.89092937243264,"Significant"
5.45077834426913e-11,0.555783621252765,0.906,0.651,1.29107135862359e-06,"ESYT2",5.88904975324094,"Significant"
5.50260796404331e-11,0.655110299120548,0.549,0.259,1.3033477223633e-06,"ZNF611",5.88493970266255,"Significant"
5.77673923521377e-11,0.516240975761022,0.387,0.139,1.36827845525273e-06,"LINC00685",5.86382551133401,"Significant"
5.85924514928733e-11,0.451673428072448,0.829,0.5,1.3878208060602e-06,"PURB",5.85766660590079,"Significant"
6.33451741215229e-11,0.407941537895878,0.7,0.355,1.50039379424239e-06,"ZNF841",5.82379474079688,"Significant"
6.38030030029996e-11,0.551937686480299,0.371,0.133,1.51123792912905e-06,"PPP1R3E",5.82066715500368,"Significant"
6.38759378041265e-11,0.407266119929636,0.573,0.253,1.51296546282854e-06,"KIAA1161",5.82017098570727,"Significant"
6.51564358689928e-11,0.538439220934122,0.721,0.386,1.54329533999296e-06,"LOC100506834",5.81155095517115,"Significant"
6.57528568859761e-11,0.484170399262751,0.749,0.389,1.55742216820123e-06,"EPGN",5.80759364788891,"Significant"
6.66210418460238e-11,0.360107643299356,0.364,0.127,1.57798599716492e-06,"TEX11",5.8018968549802,"Significant"
6.7045904125377e-11,0.526744569336365,0.615,0.29,1.58804928511368e-06,"DYDC1",5.7991360233694,"Significant"
6.73134996406833e-11,1.08367791372881,0.268,0.071,1.59438755248922e-06,"GOLGA6L6",5.79740610486599,"Significant"
6.93672312766171e-11,0.264238786711926,0.446,0.176,1.64303224001795e-06,"FTLP10",5.78435391463888,"Significant"
7.61087049473198e-11,0.731510427133761,0.404,0.151,1.80271078538222e-06,"LOC150935",5.7440739429324,"Significant"
7.70261583646636e-11,0.449255794963276,0.556,0.244,1.82444158702542e-06,"LOC144742",5.7388700368423,"Significant"
8.04478215857199e-11,1.30692169991718,0.192,0.031,1.90548710207936e-06,"M1AP",5.71999398654792,"Significant"
8.31818137744745e-11,0.39917209771292,0.481,0.194,1.9702444410622e-06,"SIGLEC16",5.70547988915882,"Significant"
8.39315205802396e-11,0.393912654849631,0.453,0.185,1.98800199646356e-06,"MOK",5.70158318379551,"Significant"
8.7546539762863e-11,0.55904178567436,0.401,0.151,2.07362734082317e-06,"CHIAP2",5.68326928958923,"Significant"
8.79010663107906e-11,0.680021754715888,0.465,0.207,2.08202465663739e-06,"CNOT10",5.68151413160831,"Significant"
8.80900768852001e-11,0.502110676595537,0.8,0.469,2.08650156110285e-06,"LOC646719",5.68058128601669,"Significant"
8.84602563640562e-11,0.269238827903141,0.669,0.327,2.09526963223904e-06,"S1PR3",5.67876008140476,"Significant"
8.96767323851991e-11,0.437717220674271,0.873,0.549,2.12408308327583e-06,"CROCCP3",5.67282849987751,"Significant"
8.99591717945864e-11,0.977105221016753,0.359,0.13,2.13077294312657e-06,"MRPL45P2",5.67146282658846,"Significant"
9.02622592635685e-11,0.367659885006126,0.434,0.17,2.13795187291688e-06,"IL18",5.67000207534889,"Significant"
9.03991658678945e-11,0.252121389257858,0.359,0.12,2.14119464274695e-06,"LOC100505687",5.66934385188881,"Significant"
9.22235623121234e-11,0.282766729611001,0.528,0.235,2.18440729692495e-06,"GXYLT1",5.66066638139077,"Significant"
9.24562830816571e-11,0.452418416499768,0.638,0.306,2.18991952107213e-06,"GAMT",5.65957184506696,"Significant"
9.35286685015789e-11,0.278659663073296,0.73,0.389,2.2153200421284e-06,"TMC5",5.65456352339581,"Significant"
9.43075553211274e-11,0.27144850892582,0.352,0.12,2.23376875533622e-06,"TIRAP",5.65096178801519,"Significant"
9.82423927134851e-11,0.492507435358027,0.742,0.395,2.32696931381161e-06,"INHBA-AS1",5.63320934379972,"Significant"
9.87785056926258e-11,0.380514667016465,0.756,0.407,2.33966768583554e-06,"C8orf86",5.63084582312695,"Significant"
9.94247179647431e-11,0.423346482529324,0.739,0.389,2.3549738697129e-06,"ANKRD30BP2",5.62801390734717,"Significant"
9.96755392010486e-11,0.288025221499283,0.542,0.244,2.36091482151604e-06,"PIK3R2",5.6269196813723,"Significant"
9.99191047532973e-11,0.474543250327026,0.653,0.327,2.3666839151866e-06,"CENPL",5.62585974082746,"Significant"
1.00504836683417e-10,0.479142941062169,0.54,0.235,2.38055756168341e-06,"EHHADH",5.62332131285814,"Significant"
1.00691988602145e-10,0.29063235760825,0.563,0.247,2.3849904420304e-06,"SCN2B",5.62251335707744,"Significant"
1.0104387213885e-10,0.281970362448694,0.366,0.133,2.39332515548079e-06,"ZNF398",5.62099829443375,"Significant"
1.01740673459482e-10,0.292555182401651,0.397,0.145,2.40982959156129e-06,"LOC646999",5.6180136669941,"Significant"
1.02013533568536e-10,0.835995129534008,0.256,0.065,2.41629255610434e-06,"LOC646278",5.61685048403694,"Significant"
1.04661719735236e-10,0.364933577028929,0.657,0.336,2.47901749364879e-06,"SLC26A4",5.60572040854144,"Significant"
1.05836667674786e-10,0.467038091315462,0.805,0.457,2.50684731054499e-06,"PAICS",5.60087211766014,"Significant"
1.06277277393649e-10,0.424846577110046,0.512,0.213,2.51728359234597e-06,"CLDN18",5.59906785491128,"Significant"
1.07099395699083e-10,0.525998844415625,0.404,0.151,2.53675628652847e-06,"PRICKLE2-AS1",5.59572125469393,"Significant"
1.0849977119668e-10,0.271685063118988,0.531,0.231,2.56992558056456e-06,"LINC00466",5.59007945270688,"Significant"
1.10075796882379e-10,0.362940794602993,0.418,0.16,2.60725532495604e-06,"PROSER2-AS1",5.58381643688313,"Significant"
1.11070878052256e-10,0.425339728742492,0.608,0.287,2.63082481754572e-06,"EFHC1",5.57990806993262,"Significant"
1.13106883024965e-10,0.352210486566945,0.2,0.034,2.67904963132932e-06,"SERPINA10",5.57201924069833,"Significant"
1.13137984792321e-10,0.374064285138473,0.493,0.207,2.67978630779092e-06,"RASSF6",5.57189983621277,"Significant"
1.13757773081403e-10,0.252646934085335,0.683,0.352,2.69446661320612e-06,"POU2F1",5.56952719332243,"Significant"
1.14756808085244e-10,0.261437118488585,0.418,0.154,2.71812975630708e-06,"PRKCI",5.56572981504169,"Significant"
1.15279801249735e-10,0.516283786682143,0.347,0.12,2.73051737240121e-06,"FAM120C",5.56375505600301,"Significant"
1.1860490917568e-10,0.263915982929034,0.683,0.336,2.80927587873515e-06,"QTRTD1",5.55140560977343,"Significant"
1.24955374826539e-10,0.376617097063976,0.317,0.102,2.9596930081414e-06,"C21orf88",5.52875333346283,"Significant"
1.2601687539531e-10,0.39602151260265,0.315,0.099,2.98483571061332e-06,"TSEN2",5.52507956803131,"Significant"
1.2683757748362e-10,0.598664783962812,0.829,0.497,3.00427486027701e-06,"KBTBD6",5.52226033636798,"Significant"
1.27146253424148e-10,0.455679281330565,0.42,0.157,3.01158615860437e-06,"LOC285540",5.52120470756523,"Significant"
1.27964024624981e-10,0.473044074521606,0.805,0.454,3.0309558872673e-06,"MBOAT2",5.51842038433703,"Significant"
1.31492429869394e-10,0.447981381842027,0.84,0.506,3.11452969388646e-06,"PCDHB9",5.50660752421204,"Significant"
1.31904747977613e-10,0.412136170509722,0.948,0.753,3.12429586059775e-06,"SLC31A1",5.50524784658059,"Significant"
1.33237929191548e-10,0.706158805620234,0.542,0.256,3.15587359083101e-06,"ATP6V1C1",5.50088040086947,"Significant"
1.41308282024689e-10,0.405034112363706,0.439,0.176,3.34702796803679e-06,"LOC728218",5.4753406586272,"Significant"
1.47955431782494e-10,0.632357113015531,0.634,0.321,3.50447235720016e-06,"RGS12",5.45537736132255,"Significant"
1.48472500546998e-10,0.947247255838403,0.277,0.08,3.51671964795619e-06,"ORAOV1",5.45386225215466,"Significant"
1.51365435642041e-10,0.508109509443796,0.833,0.503,3.58524170861739e-06,"ZNF320",5.44548155989014,"Significant"
1.51881848920737e-10,0.426966053897504,0.918,0.722,3.59747347353659e-06,"SPRED1",5.4440023997094,"Significant"
1.52098335963394e-10,0.260925294341929,0.415,0.154,3.60260118562896e-06,"ECT2L",5.44338381238957,"Significant"
1.56491799696844e-10,0.48735205669953,0.754,0.414,3.70666476761946e-06,"LOC100132077",5.43101668997702,"Significant"
1.64404162912816e-10,0.485704994497257,0.324,0.102,3.89407700275296e-06,"C21orf58",5.40959546484987,"Significant"
1.65618475029975e-10,0.557881717963623,0.746,0.41,3.92283919956e-06,"LOC440173",5.40639949359747,"Significant"
1.67492002063148e-10,0.312082178843665,0.406,0.154,3.96721556086771e-06,"ZNF517",5.4015142012521,"Significant"
1.70070966967678e-10,0.42541922108819,0.69,0.355,4.02830092359642e-06,"SPPL3",5.3948780940827,"Significant"
1.72380327323127e-10,0.348584819301002,0.547,0.244,4.0830004329756e-06,"ZNF208",5.3890205740229,"Significant"
1.72818356614897e-10,0.419841954026163,0.523,0.225,4.09337559478046e-06,"LOC100128573",5.38791840408262,"Significant"
1.72849997280091e-10,0.295179770041229,0.721,0.364,4.09412503557623e-06,"EFCAB2",5.38783889801167,"Significant"
1.75394836530052e-10,0.458526606498449,0.289,0.083,4.15440209805081e-06,"PDPN",5.3814914710861,"Significant"
1.80479455688681e-10,0.478510278462062,0.277,0.077,4.27483638744211e-06,"KMO",5.3690805025477,"Significant"
1.81249444897664e-10,0.622834800048046,0.423,0.167,4.29307435184606e-06,"FGFR1",5.36723158990005,"Significant"
1.82375699039816e-10,0.279681719734507,0.303,0.09,4.31975080745709e-06,"CYP4F11",5.36454130551559,"Significant"
1.83873134611649e-10,0.433216608129348,0.547,0.244,4.35521906641153e-06,"C8orf44",5.3609899952049,"Significant"
1.85089329899609e-10,0.571401259915759,0.376,0.136,4.38402586800213e-06,"SCN9A",5.35812689195584,"Significant"
1.86377632272022e-10,0.825243256045526,0.509,0.244,4.41454059799511e-06,"KLRC3",5.35511448486936,"Significant"
1.88654754446569e-10,0.45973113508727,0.352,0.117,4.46847651382143e-06,"FGD6",5.34984052036205,"Significant"
1.91062549002146e-10,0.744154019233356,0.214,0.043,4.52550753566482e-06,"LINC00605",5.34433270760174,"Significant"
1.91169796942554e-10,0.448919328116368,0.786,0.432,4.52804781038135e-06,"COX10-AS1",5.34408899620248,"Significant"
1.96670055287367e-10,0.410998664090675,0.772,0.426,4.65832692953658e-06,"C6orf25",5.33177003518492,"Significant"
2.09091012345204e-10,0.704287486456661,0.336,0.117,4.9525297184085e-06,"TPTEP1",5.30517290973144,"Significant"
2.09792485047153e-10,0.335160076125428,0.662,0.318,4.96914480082687e-06,"C19orf40",5.30371834773347,"Significant"
2.12715749898077e-10,0.545050870766435,0.575,0.272,5.03838525208585e-06,"GCNT2",5.29770862793393,"Significant"
2.173155610906e-10,1.01497109485417,0.315,0.105,5.14733637999195e-06,"PHLPP2",5.28841744954645,"Significant"
2.18432363821796e-10,0.798881305555055,0.232,0.056,5.17378896948307e-06,"CLDN10",5.28619128943047,"Significant"
2.28018701183606e-10,0.795001074405848,0.38,0.148,5.40085095623488e-06,"WDR73",5.26753780749531,"Significant"
2.29007642025517e-10,0.284610023910438,0.718,0.377,5.4242750090164e-06,"STX1B",5.26565829999081,"Significant"
2.2917265820963e-10,0.304965190208614,0.648,0.327,5.42818358235329e-06,"TVP23A",5.26534547282977,"Significant"
2.32092702015416e-10,0.318566215489401,0.592,0.272,5.49734773993715e-06,"LHFPL5",5.25984679045664,"Significant"
2.36204266567015e-10,0.733126163563202,0.268,0.074,5.59473425790631e-06,"FENDRR",5.25222053702942,"Significant"
2.38625424781059e-10,0.347715671119092,0.594,0.29,5.65208181136416e-06,"CCPG1",5.24779156055899,"Significant"
2.40069895550891e-10,0.646770407813588,0.634,0.318,5.6862955460184e-06,"OSTM1",5.24517057154159,"Significant"
2.42649636458315e-10,0.327156173861143,0.725,0.383,5.74739928915165e-06,"LOC157273",5.24052863007154,"Significant"
2.49260793571672e-10,0.546607168143945,0.333,0.111,5.90399115653863e-06,"BPHL",5.22885430170489,"Significant"
2.52030687218154e-10,-0.324351240807235,0.319,0.099,5.96959885744921e-06,"TMPRSS11BNL",5.22405485142499,"Significant"
2.5621312302147e-10,0.333343942776364,0.716,0.377,6.06866403188653e-06,"CLDN16",5.21690690487838,"Significant"
2.56525369917561e-10,1.11808662482659,0.181,0.028,6.07605991186735e-06,"MIR205HG",5.21637795250755,"Significant"
2.57038719516287e-10,0.458571464543903,0.803,0.457,6.08821911046277e-06,"BNIPL",5.21550972602189,"Significant"
2.58812335163961e-10,0.297312469657381,0.678,0.336,6.13022897069358e-06,"C9orf64",5.21252330380922,"Significant"
2.61283318036242e-10,0.412888550791655,0.784,0.432,6.18875667100642e-06,"UVSSA",5.20839659252397,"Significant"
2.65755326801481e-10,0.426021901194941,0.69,0.358,6.29468067061987e-06,"EGFEM1P",5.20102629677222,"Significant"
2.69604258342312e-10,-0.266216775769672,0.338,0.111,6.385846463096e-06,"ADARB2",5.19478152754912,"Significant"
2.72780542766192e-10,0.350886126695002,0.556,0.259,6.46107993596002e-06,"TRIM72",5.18969488587028,"Significant"
2.77718197757547e-10,0.368804693522193,0.772,0.42,6.57803323208526e-06,"HOMEZ",5.18190393680125,"Significant"
2.81117322288448e-10,0.560106825812057,0.577,0.275,6.65854489572418e-06,"LOC100505659",5.17662066764689,"Significant"
2.86078059335448e-10,0.48967732270153,0.84,0.519,6.77604491341941e-06,"TRIM45",5.16902372404902,"Significant"
2.89658789357125e-10,0.358283748793169,0.746,0.392,6.86085808471286e-06,"CD109",5.16362156386314,"Significant"
2.92668779919665e-10,0.607054287497657,0.251,0.065,6.93215272117719e-06,"TEX35",5.15913187797862,"Significant"
2.93454950262528e-10,0.38390539657665,0.453,0.182,6.95077395191825e-06,"CT64",5.15796683507414,"Significant"
3.06315810665302e-10,0.387477768120399,0.913,0.725,7.25539629141835e-06,"PSTPIP2",5.13933886131365,"Significant"
3.08134305000928e-10,0.305921016874342,0.495,0.21,7.29846914825197e-06,"MARVELD2",5.1367682234668,"Significant"
