"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","negLogP","sig"
0.246730075694788,-0.0625697141352034,0.195,0.154,1,"TRAP1",0,"NS"
0.246799998777679,0.143805929097734,0.261,0.219,1,"SLC39A9",0,"NS"
0.247023602725282,-0.371262756355046,0.254,0.275,1,"FARSA",0,"NS"
0.247155217690591,-0.165578994437783,0.923,0.753,1,"SNTB2",0,"NS"
0.247403967287433,-0.170374181878732,0.228,0.179,1,"TYW1",0,"NS"
0.247524846079469,0.132721917006913,0.268,0.219,1,"FAM195B",0,"NS"
0.247581264707792,-0.0888099630718757,0.775,0.528,1,"ZNF69",0,"NS"
0.247645742708714,0.0426396202914595,0.195,0.157,1,"TAF3",0,"NS"
0.247780524122257,-0.20216309049101,0.265,0.21,1,"NSRP1",0,"NS"
0.247858080378835,0.00806389632854754,0.129,0.099,1,"NCAPD3",0,"NS"
0.247997875256847,-0.0623595976324627,0.791,0.738,1,"LIMD2",0,"NS"
0.248187415201768,0.0883502098353419,0.122,0.093,1,"GTPBP6",0,"NS"
0.248242220585089,0.131982181275485,0.124,0.096,1,"TOMM34",0,"NS"
0.248349601977133,-0.0908694175122643,0.303,0.247,1,"SHOC2",0,"NS"
0.248523996625173,-0.0251113399860683,0.195,0.151,1,"CYB561D2",0,"NS"
0.24855287588272,-0.487216644816121,0.34,0.349,1,"PTEN",0,"NS"
0.248774397779547,-0.00900466208716288,0.62,0.503,1,"RBM5",0,"NS"
0.24889069984765,-0.106235768333561,0.258,0.207,1,"STARD3",0,"NS"
0.249041678001524,0.0500078375162525,0.115,0.086,1,"MVB12A",0,"NS"
0.249304357288153,-0.429535297132144,0.876,0.691,1,"PHLDA1",0,"NS"
0.249595156002123,-0.184682464953367,0.207,0.164,1,"ZHX2",0,"NS"
0.250114495382171,0.0690881000441196,0.214,0.173,1,"DRG1",0,"NS"
0.250209330568956,0.0663104251407298,0.167,0.133,1,"TCEB3",0,"NS"
0.250298740705702,0.02753808832819,0.366,0.296,1,"PCMT1",0,"NS"
0.250333472133815,-0.142586068342308,0.192,0.148,1,"KRCC1",0,"NS"
