"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DAAM1",-1.68367091856537,6.93104365055808,-6.28407933437264,6.17940666803054e-09,5.30087391739804e-07,10.1536489003872
"ELN",-1.93640518749835,6.49909022216246,-6.25994221934102,6.93480438187548e-09,5.90999440099833e-07,10.0428724592612
"KRT31",-1.89783426908205,6.31235445955035,-6.25719988058526,7.02618345341809e-09,5.94898740578692e-07,10.0302994312063
"CCL3",2.07133039566227,6.54862651978501,6.25258186721544,7.18275077567701e-09,6.04231531380984e-07,10.0091327841343
"GAS6",-1.61927746247402,8.4416644533606,-6.25108477594373,7.23424144581538e-09,6.04662014179402e-07,10.0022724739247
"PTK6",-3.26813668824307,4.43479588807181,-6.24904414187254,7.3050126380368e-09,6.06688278900394e-07,9.99292268348446
"KLK11",-3.51558378361417,6.3866853585653,-6.23433423126828,7.83574102042031e-09,6.46647007375066e-07,9.92556796964427
"KCNJ2",-1.59090193703527,6.32259105652091,-6.23197842151412,7.92419498902936e-09,6.49833826804741e-07,9.91478810419538
"SEMA3F",-1.21538851495885,7.5352011521186,-6.22617635409209,8.14626159133718e-09,6.63869405559034e-07,9.88824698019858
"EPHB6",-2.99655940991457,6.63985897505574,-6.20633659165156,8.95291590772687e-09,7.25074972179196e-07,9.79758148639675
"EML1",-1.16969187693608,5.14794029491015,-6.203979852216,9.05381589740427e-09,7.28720404236138e-07,9.78682073697443
"MYO6",-1.30626005952168,6.06368443706556,-6.17660790054261,1.03109620346363e-08,8.24813705335109e-07,9.66198710162196
"DSC1",-3.66313456997483,6.87997653472369,-6.17006182232769,1.063620714915e-08,8.36588639676863e-07,9.63217259257654
"ITGAX",1.67651047190444,5.44152272052871,6.16994880833297,1.06419100807964e-08,8.36588639676863e-07,9.63165799893283
"CA2",-1.86547306783216,6.62610662922697,-6.16977589530781,1.06506414745271e-08,8.36588639676863e-07,9.63087067221623
"CEP170",1.71816927333946,7.95198934016798,6.1531180428916,1.15257098279467e-08,8.99902577524536e-07,9.55507288469118
"SOX10",2.31031374113332,9.86423073733505,6.14899343617965,1.17530905764703e-08,9.07700035452315e-07,9.53632029926814
"SPINT1",-2.37249252872967,6.35204091980814,-6.13709691749544,1.24339438069207e-08,9.53683489990814e-07,9.48226720130744
"ETV5",2.07572064036748,8.70774101185604,6.12766324719054,1.3001311995271e-08,9.91369047405491e-07,9.43944095110665
"IL20RA",-1.51418406038925,4.72203122275765,-6.12240181670364,1.33287389976162e-08,1.01042690575534e-06,9.4155696324605
"OSR2",-1.69339767541641,6.55621294422385,-6.08438591376869,1.59481287604918e-08,1.1951014420003e-06,9.24339218041152
"UBR4",-1.35810737373677,7.78274653385619,-6.08234384486505,1.61023395117685e-08,1.19976231367971e-06,9.23415856828368
"GNG7",1.80677772698937,7.15651672153169,6.06853444082375,1.71843792969012e-08,1.27310864575167e-06,9.17175731535759
"KRT19",-2.06656449364925,4.37639997056811,-6.05605234495967,1.82237694375169e-08,1.34248434856375e-06,9.11541498048657
"ALOX15B",-2.4072642188436,6.93287943307192,-6.0546635722568,1.83431679962143e-08,1.3436885814755e-06,9.10914986596755
"ACSL1",-1.83484105903768,7.68210766083272,-6.05263841785634,1.85186592287141e-08,1.34771393670239e-06,9.10001516261209
"CKLF",1.12437997457783,7.23691850021623,6.05165079993919,1.86048399882223e-08,1.34771393670239e-06,9.0955609501182
"MYOF",-1.57915168851026,7.01416063295056,-6.04878831012088,1.88568591428649e-08,1.34933112872496e-06,9.08265302526142
"DSC3",-2.76286710051816,7.50125645283937,-6.04770791242372,1.89528497146537e-08,1.34933112872496e-06,9.07778194922203
"DHCR7",-2.29778635599468,6.81670211871926,-6.04671935023844,1.9041101900866e-08,1.34933112872496e-06,9.0733253061088
"GPT",-2.11424567535084,3.98554321456924,-6.03191387894431,2.04122137643514e-08,1.43867489336961e-06,9.00662313193444
"F3",-2.78884324285147,4.7721020814746,-6.02279900663236,2.13041401518436e-08,1.4934660399994e-06,8.96559955995007
"LCE2B",-3.73570333867695,6.50693468771576,-6.00764196375211,2.28728941282257e-08,1.59486452694083e-06,8.8974514597608
"FADS2",-3.41089535222679,7.28433638796722,-6.00633995858897,2.30128319749698e-08,1.59608678788101e-06,8.89160153796206
"CBLC",-1.35843084675411,4.74249828164978,-6.00326676891182,2.33464814186132e-08,1.61066016517089e-06,8.87779622503391
"ALOXE3",-1.40138796832556,6.30317281947407,-6.00198752067432,2.34867643992048e-08,1.6118101105328e-06,8.872050675057
"F2RL3",1.42902059073414,5.24992516120554,5.9925757763281,2.45446520396942e-08,1.66686311429986e-06,8.8297984323931
"BICD2",-1.34128253760359,7.43649511546381,-5.98710851037169,2.51805422357646e-08,1.7011869959178e-06,8.80526971440745
"NPY1R",-1.89853566743016,4.27814175092,-5.98343627090692,2.56167191013254e-08,1.72173402248547e-06,8.78880074974742
"IL22RA1",-1.49644806379845,6.88220443426863,-5.97559855313646,2.65726507069091e-08,1.7712882515977e-06,8.75366807873988
"EPS8L2",-1.71663191012763,6.44884055714728,-5.97517176008937,2.66256996175435e-08,1.7712882515977e-06,8.75175565055462
"CYP3A7-CYP3A51P",-1.25371690279738,4.72381734118744,-5.9738611944437,2.67892499166853e-08,1.77312197798812e-06,8.7458835400731
"CSNK2A2",-1.11905530019982,7.91331445047552,-5.96777180304771,2.75622133970202e-08,1.81506919436235e-06,8.71860812638303
"VIPR1",-1.13703107553931,6.82186206668237,-5.96533170379183,2.78780653912295e-08,1.8266436916394e-06,8.70768251668441
"KRT2",-4.16628767344798,7.8206816162496,-5.95386773076839,2.94102520681226e-08,1.91740138358125e-06,8.65638302868172
"TPPP",-1.36201176438056,4.61678222441799,-5.95095133753454,2.98130580165804e-08,1.93399235561289e-06,8.6433407321517
"GREM2",-1.6300914957101,4.66909415780938,-5.949826679012,2.99698377738284e-08,1.93453819174727e-06,8.63831206757961
"INPP5A",-1.1609175126767,7.65795700303873,-5.94463884791741,3.07035847387078e-08,1.97213813501483e-06,8.61512216337886
"TM7SF2",-1.80302757770894,6.00306689773241,-5.91603273992612,3.50779178699967e-08,2.24206358385729e-06,8.48743930127347
"NSUN5P2",1.58328678317755,8.90985331323972,5.89793787338774,3.81552437084467e-08,2.41507875104096e-06,8.40683852022681
"ARHGEF4",-1.35181621324659,6.03891242683047,-5.89245174462492,3.9139571707531e-08,2.46541485746134e-06,8.38242686283755
"LDHB",1.34947249769797,10.9971429322945,5.87754667076097,4.19415424264656e-08,2.62921044085906e-06,8.31616371962127
"SERPINB7",-3.03609072132308,5.09049186627681,-5.86801645755269,4.38353990829306e-08,2.71870369557403e-06,8.27384162485616
"HOPX",-3.22201334740138,7.01256447280268,-5.8672335146205,4.3994668284847e-08,2.71870369557403e-06,8.27036630991462
"MRTFB",-1.00719706263384,7.02393568670013,-5.85288008651259,4.70172636408875e-08,2.86475747950248e-06,8.20669782436
"AQP9",-2.44054868877654,4.62986031273082,-5.85038452280615,4.75632053335215e-08,2.88431748112495e-06,8.1956364748742
"ELMO3",-1.60858760468655,5.22969146582541,-5.849308897379,4.78004296307027e-08,2.88431748112495e-06,8.19086963541854
"ANO1",-2.1263091156626,5.05279117833879,-5.84839945488897,4.80019091497901e-08,2.88431748112495e-06,8.18683962861177
"KCNJ1",1.15764385948257,5.33716567044987,5.83731883509008,5.05247221410651e-08,3.0219809724649e-06,8.13776476838945
"OGN",-1.71397313536063,2.9922900687108,-5.83595076696962,5.0845091222921e-08,3.02725636737748e-06,8.13170916072259
"AZGP1",-1.93695978953476,7.27113676775646,-5.8275869095202,5.28475265823607e-08,3.13217681412455e-06,8.09470380598061
"SLC16A4",2.33463437583916,6.04789022686626,5.81992537901329,5.47496381071806e-08,3.23022864832366e-06,8.06083058769289
"CERS6",-1.02231535690517,7.57158274494151,-5.81558961605207,5.58556807250907e-08,3.28064063502008e-06,8.04167178089352
"ULK1",-1.18790877401622,6.46582226706476,-5.81219765605882,5.67362262380504e-08,3.31741548842125e-06,8.02668873773112
"GP1BB",-2.14418179561881,4.72997756657728,-5.79229575676543,6.21840037195616e-08,3.60363210888606e-06,7.93887163487244
"IL1RN",-1.47644789190567,6.28487999388386,-5.791278966905,6.24757078718604e-08,3.60451661478402e-06,7.9343893757883
"ARHGEF5",-1.81749026285647,6.2960755748135,-5.7707104539742,6.86733888793868e-08,3.94463576034504e-06,7.84380899107572
