"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IPO7",0.0983721153635919,11.4677227748498,0.347081996509731,0.729732243214759,0.893425231857018,-6.10128622295816
"ZIC4",0.184750513979155,4.21355024285561,0.34696907803627,0.729816646223348,0.893444676566166,-6.10132423377191
"AKR7A2",0.089153070205203,11.3723586523673,0.346708067750901,0.730011756043227,0.893599632655618,-6.10141204836923
"ZNF205",-0.099274439510884,6.94553845383906,-0.346554657512082,0.730126441278044,0.893656122014871,-6.10146363117669
"OAZ2",-0.129454545087244,10.8380100437315,-0.346193106805039,0.730396751011219,0.893857169136558,-6.10158510940782
"MVP",-0.15302390789835,9.8517889893763,-0.34615157497775,0.730427804060896,0.893857169136558,-6.10159905569339
"BCORL1",-0.0786015311689123,9.21043177687568,-0.345822582041478,0.73067380572172,0.894074301126643,-6.10170947183312
"TCEA2",0.146900512523212,8.5885348737554,0.345604165925366,0.73083714019398,0.894114241946145,-6.10178271858675
"EDDM3A",-0.107625369255594,6.12349726025201,-0.345595539262496,0.730843591583865,0.894114241946145,-6.10178561062798
"MOCOS",0.271030600150276,9.32024973440438,0.345171881996119,0.731160444728012,0.894417960297265,-6.10192755093221
"SLC17A1",-0.15647250748559,7.21414379361639,-0.344904649458314,0.731360332045931,0.894550262277346,-6.10201699418818
"PFN1",0.0952274168289424,13.6485578839494,0.344843853818873,0.731405809198465,0.894550262277346,-6.10203733297521
"SEC61A1",-0.282308613020268,11.1897218940726,-0.344703592070598,0.731510733323031,0.894594677527575,-6.10208424301171
"ASAP2",0.112894544362849,10.5742372875792,0.344312653625347,0.731803205674422,0.894868423406995,-6.10221489065466
"KDM3A",0.0937062263939978,11.2047677529161,0.344000632807971,0.732036666130846,0.895031576678423,-6.10231905888013
"FOXK2",0.0905855835168339,10.092305295688,0.343950853963546,0.732073914048269,0.895031576678423,-6.10233566885964
"ACOT13",0.0992283202852686,10.2332761827971,0.343140421927031,0.732680425380304,0.89568911180703,-6.10260575339256
"RBPMS",0.107369380146157,9.54931996786708,0.342989645155131,0.732793282631302,0.895723051517964,-6.10265593124109
"ITGB8",-0.154005096742996,6.93297455035445,-0.342874154301988,0.732879732181176,0.895723051517964,-6.10269435123544
"POP4",0.0940521342417107,11.0606213689775,0.342828008185095,0.732914275377341,0.895723051517964,-6.102709698922
"WWP2",0.0616151068633215,9.40432681621233,0.342682716888439,0.73302303843637,0.895772014823976,-6.10275800775914
"BCAS4",0.222114233576144,6.63018679080405,0.342465083093369,0.733185966368847,0.895776130041542,-6.10283033206286
"DNAJC13",0.111263456629452,11.0537421871443,0.342402162245723,0.733233073314459,0.895776130041542,-6.10285123346093
