"Gene","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset"
"ID2",-1.22175182361463,0.0582214444163038,1.21501296095717,0.544707415658333,0,-5.06339149884439,4.11862831617427e-07,1.19074932626599e-05,-0.912686528682694,1
"ETF1",-1.07627625596779,0.0568951844829892,1.10369334748242,0.57588535546863,0,-4.5121757204922,6.41659926658988e-06,0.000126959086247444,-0.478188774700503,1
"NME1",2.18138192355928,0.628986623379675,17.3823657137355,0.000168061116358471,1.66261648050455,2.75049592106272,0.0059505132395612,0.0377193690474664,1.1338669972937,1
"ANXA2",-1.11926191629193,0.133027847254898,4.45917369915536,0.107572864730571,0.219995118045672,-3.0687424803677,0.00214961801136027,0.0171220948381958,-0.5457041081822,1
"PPP4R1",-1.2043025355065,0.0575284052289475,0.684220602864156,0.710269856605957,0,-5.02104869487719,5.13901280863038e-07,1.43793107321312e-05,-0.549596451429451,1
"OAT",-1.07574150216195,0.162928142000202,5.45660253669856,0.0653301738943317,0.309169450040092,-2.66507767691122,0.00769705416805366,0.0458902100124608,-0.579688515972629,1
"SND1",1.08070926110998,0.0574155008945341,1.60223305516384,0.448827555905567,0,4.51018435527785,6.47713114698689e-06,0.000127383579224076,0.526705225121206,1
"INSIG1",-1.61859645669844,0.0607557123344491,1.48866543210847,0.475051188232242,0,-6.56666750312147,5.14537301654627e-11,4.35652719238616e-09,-1.11213332249098,1
"RRAGA",-1.33150407780949,0.0585215933833486,1.72833852926087,0.421401480373052,0,-5.50407609771809,3.71109236674272e-08,1.44444577223756e-06,-0.648886173400574,1
"KDM3B",-1.27435372235882,0.157660089036531,5.17207899391357,0.0753177463264827,0.289684644054435,-3.20943886992046,0.00132994323267943,0.0114765915360074,-0.331514928752759,1
"KRT19",-2.95018895859832,0.645688099018138,15.7215165014977,0.000385581393120063,1.67952684752137,-3.67145696835829,0.000241171688588393,0.00276087589772086,-4.18154348681429,1
"ACSL3",1.12887172801712,0.0726271655412531,2.47684472594231,0.289841121516068,0.0424091015414879,4.18885231622203,2.8036877611548e-05,0.000443118602638758,1.05023191193311,1
"SMC4",1.09260552517723,0.0954377990041265,3.2342482668698,0.19846864849199,0.109657390865384,3.53674041198862,0.000405097619202044,0.00426317018303103,0.616215770520615,1
"TIMP1",1.64454781004808,0.0610717925966286,1.82601736693913,0.401314976089032,0,6.65466457375265,2.83946199886032e-11,2.57109340299581e-09,1.24438963131855,1
"DLG5",-2.94041261306058,0.29122317486173,7.41803889353338,0.0245015365574686,0.636379918045395,-5.44873028876134,5.07306749941705e-08,1.90560779607911e-06,-1.59016131892413,1
"DNMT1",1.43927591773444,0.0591305772703865,0.049618672428883,0.975495886036944,0,5.91885906875466,3.2418259188205e-09,1.66705183513989e-07,0.822916173322683,1
"PGRMC2",-2.53899589884069,0.689246246817995,17.9180505222843,0.00012857151632829,1.8272093734,-3.05826274593733,0.00222624286649298,0.0175501697316819,-1.29159109729413,1
"PSMD7",-1.27113874783003,0.0585145600277686,1.11418390719652,0.572872583936055,0,-5.25485800865708,1.48138716404844e-07,4.89007778026016e-06,-0.59588220153382,1
"MRPL49",-1.10609972178795,0.0569436702242631,1.32535427464979,0.515469502994356,0,-4.63523284559705,3.56535919654455e-06,7.60862824283868e-05,-0.369547189563418,1
"LAPTM5",1.26671969161847,0.0782837817504602,2.64254560997423,0.266795507113438,0.057693564413946,4.5273557640634,5.97263406043602e-06,0.000119443520727033,1.41165664788306,1
"GALNT1",-1.39951317126339,0.155771589549134,5.1904235170004,0.0746300708491765,0.286957307342257,-3.54595209670081,0.000391197313400315,0.00414364075501764,-0.485292428303169,1
"SGK1",1.10318882677961,0.169766083205674,5.67613822464894,0.0585385883479814,0.329346162212968,2.6774686236304,0.00741808000870892,0.0445528996930242,0.785909490929118,1
"CLINT1",-1.15531589892766,0.057797363598854,1.04424174406476,0.59326098212845,0,-4.80559022541724,1.54295634757773e-06,3.76048744225533e-05,-0.478597337735353,1
"EFCAB14",-1.98378923705216,0.536519995409646,15.3865849985006,0.0004558747308447,1.3951405330996,-2.70833619360445,0.00676214840382205,0.0414873564512073,-0.427973084361631,1
"ADAR",1.1473914929046,0.179905990075227,5.99192199370276,0.0499885651428894,0.358693959053841,2.70513419179411,0.00682768017670665,0.0418159332193885,0.40537972380054,1
"DHCR7",-1.69417988146445,0.073029774362231,2.39076339661168,0.302588434643869,0.0360754181484758,-6.26916269653149,3.62994745373157e-10,2.37843642458322e-08,-1.82730589530577,1
"MYOF",-2.18318807136368,0.147429511195426,4.31004431008826,0.115900622801021,0.237043919513235,-5.68589632896784,1.3012832145165e-08,5.59514615308822e-07,-1.70319187757072,1
"TBCB",1.87237868585854,0.312997036570785,9.31504570866995,0.00948994127630204,0.734983413310183,3.3467523411328,0.000817642236371263,0.00775362699639629,0.878184965864674,1
"VPS26A",-1.44782817991682,0.130135522718174,4.20924578698334,0.121891631730743,0.204937131298001,-4.01346144087797,5.9834780620216e-05,0.000848950712194772,-0.693758636947631,1
"LPCAT1",1.69922966033482,0.13183803419066,4.11944794627212,0.127489155470286,0.203595753888616,4.67984771155241,2.87088081973863e-06,6.36622704227415e-05,1.19949099708977,1
"KRT5",-1.61951291318081,0.149075987655356,4.69301684258985,0.0957027331571767,0.25642763058399,-4.19450356213303,2.73469854359387e-05,0.000433265301457114,-4.94896127582444,1
"SMARCD2",-1.12949008575755,0.0570430724311594,1.69328018278655,0.428853422302025,0,-4.72912690720117,2.25487410610015e-06,5.16718865895251e-05,-0.530589320114647,1
"NET1",-2.40448596833988,0.360955656596894,9.83748524936882,0.00730831436609592,0.858981013393714,-4.00216805361763,6.27646909021617e-05,0.00088188448779449,-1.82849662511075,1
