"","MEblue","MEtan","MEmagenta","MEpurple","MElightcyan","MEgreen","MEgreenyellow","MEbrown","MEcyan","MEmidnightblue","MEyellow","MEblack","MEred","MEsalmon","MEpink","MEturquoise","MEgrey"
"Metastatic.Melanoma.6",-0.067900870734054,-0.0122172525549302,0.0164288221704985,-0.265285075849316,0.00144182614386608,0.0666972921344412,-0.024696372469974,-0.0132083564317985,-0.10568481420497,0.137339497357756,-0.023742236644158,-0.130702495657211,0.103726412095014,-0.0812538181850728,0.270045199099474,0.149656137523121,0.120880393684892
"Metastatic.Melanoma.7",-0.0432193158724841,-0.0808969853429737,-0.0754296713562898,-0.034241237578358,-0.107576827942529,-0.052804513777697,-0.0676564032329028,-0.028550762283295,0.00606362380526659,0.0683445935029413,0.08769884807579,0.019029671357037,0.119360769249459,0.0298271924874128,0.137064368965112,0.0984061585098748,0.161253365576609
"Metastatic.Melanoma.8",-0.0138759573572699,-0.0537827350364036,0.0338436435918278,-0.0543350681812957,-0.0920874555087432,-0.0751882287860471,-0.110931699584653,-0.0510977572006082,-0.122107611864368,0.121782111532678,0.09656546586973,0.0023178759083216,0.133798052838654,0.0827296258993561,0.142366382233058,0.0698902633382252,0.0661043774464083
"Metastatic.Melanoma.9",-0.0707260401085979,-0.0779837324381672,0.0124016731846371,-0.178356449158057,-0.0585045514067812,-0.0450558539565489,-0.0962670348184037,-0.0177708578158942,-0.0733617883009531,0.156894787999307,0.0737623563060338,-0.0874273657352188,0.11257138948714,0.0190322924973647,0.198382882367113,0.160094411597142,0.117440696558918
"Metastatic.Melanoma.10",-0.0140587872953466,-0.0936499727210453,-0.0339770484860993,-0.00671867619839369,-0.103733249737724,-0.0883300801812502,-0.0983030888108669,-0.0446269304983962,-0.0858320947346144,0.140486146781709,0.113975661800625,-0.0182751096481094,0.0888668746725173,0.0946839949425432,0.0982249929435408,0.0630849253616135,0.074874622363737
"Metastatic.Melanoma.11",-0.015705806615106,-0.00645470857178728,0.0389343735314285,-0.186093062970686,0.023540812578993,0.00832911404647413,-0.0754230566293216,-0.0392838285224153,-0.16706912845347,0.112185273763882,0.0456281171353023,-0.0712419201894345,0.0950618677428237,-0.0192333872717548,0.183226249276475,0.0808402141846046,0.03923009334012
"Metastatic.Melanoma.12",-0.0293203639900793,-0.0710637932262394,-0.0310161709799687,-0.017520313704669,-0.0433270042754002,-0.0737617547843057,-0.0601927896433196,-0.0297423970231165,0.0410306609125895,0.110991862153726,0.0664989054384348,0.0220445246201944,0.111673524041299,0.0623561423028232,0.111584306186441,0.0374773097790961,0.133816662722701
"Metastatic.Melanoma.13",-0.0306920773650285,-0.0844058564018237,0.021797486208274,-0.0413478857921028,-0.0225585306000266,0.0242783658449665,-0.0334101703599446,-0.0303281734017779,-0.0800447222999189,0.0391994772118208,0.0246568972033164,-0.0239719238107949,0.0533440712837876,0.0582644844615976,0.107317895461661,0.111979623024377,0.100004574084918
"Metastatic.Melanoma.14",-0.0215927407865865,-0.0483089532008968,-0.0243365354553177,-0.077637663424036,0.0226812359477394,0.0418290068354913,0.00211619345637394,-0.0331007033659791,0.00704729577289558,0.0706323257804211,-0.0145418686406352,-0.00699808400362473,0.0570108642981658,0.00756699699702594,0.114570023000325,0.0400698809089684,0.070032680950089
"Metastatic.Melanoma.15",-0.0112767822214101,-0.0634677005082913,-0.068584166999355,-0.040556419187361,0.0748913917986171,0.0636239429357359,0.0265413787394803,-0.0273575796758375,0.0949930248630683,0.0116613663124078,0.0249692476352248,-0.00172864668536245,0.0144254991943755,0.0363591914802153,0.0755734298496882,0.0633209951796199,0.0841391650004175
"Metastatic.Melanoma.16",-0.0228618138108091,-0.0928863877924113,0.0182930493006296,-0.0126595198089019,0.0619852445126633,-0.0215238390972974,-0.0685906765933909,-0.0222305570077036,-0.0808207461241433,-0.0137851627936442,0.0276166222843078,-0.0240816109735034,0.0109549212195673,0.0456472832700485,0.069834927852007,0.140461822184189,0.119000963411507
"Metastatic.Melanoma.17",-0.0402228591105848,-0.102581493702518,0.0217194666283732,0.0232354009992111,0.0680676651525452,-0.0303840374284291,-0.0685668480912539,-0.0567423098802008,-0.134390078225746,0.016948014778222,0.0481425617592878,0.0440420108774118,0.0572646016069288,0.0842602979217459,0.064798342475343,0.018329088732432,0.0602263441157015
"Metastatic.Melanoma.18",-0.0277574146938447,-0.0952049209308472,0.0202660228566458,0.00425728601477038,0.0323499620446532,-0.0196827013739804,-0.0637850272307407,-0.0411675079465352,-0.124911241914388,0.0219009391777812,0.0378053714410125,0.00877331437167117,0.0421115870806002,0.0599284622245287,0.0624616133608355,0.0768687921952259,0.0902334014122187
"Metastatic.Melanoma.19",-0.0809070847919283,-0.0801625369028901,0.0162103282025035,-0.136482879542598,-0.0137937716125382,0.0128259371327378,-0.0346123927799307,-0.00721715065039299,-0.0307603877145154,0.00944228366135247,-0.0552612940085023,-0.0858033779617831,0.0339260807461294,-0.129221116770518,0.152810188207286,0.175389664352932,0.131858994764318
"Metastatic.Melanoma.20",-0.0141626916193105,-0.0647145733327797,-0.0868280004954024,-0.0369550553457007,-0.00993240331372227,0.0290989504182048,-0.0123993293373485,-0.0135566279410379,0.0221232683153295,-0.0432914990000381,0.0393441551673639,-0.00998957510702651,0.000968989428580259,0.071042330108169,0.0742865130451763,0.113822556710796,0.0828680425058022
"Metastatic.Melanoma.21",-0.0254674670395467,-0.0488200635158089,0.0302801899266164,0.048997831471953,0.0415662335003356,0.0278932061619558,0.00835641072065784,-0.0602536930298799,0.049645349508463,0.00436443391193593,0.0371529432943039,0.0457037827329032,0.0104311865194301,0.0209241784302431,-0.0470993252326939,-0.0697310575554686,-0.00943066663664531
"Metastatic.Melanoma.22",-0.00610301233673111,-0.0677098398445213,0.0516100140211856,0.142159284212771,-0.103457992786826,-0.0892375127962605,-0.046966367726665,-0.0639025648502079,-0.00324898210708953,0.0385922174694969,0.13670647944741,0.117168777228586,0.0738776829115003,0.103770090098152,-0.0577377762353366,-0.104822682951301,-0.0792293505834649
"Metastatic.Melanoma.23",0.0182050781015389,-0.058926992433219,0.0740373512183092,0.120137161441641,-0.101222149211399,-0.105101015301625,-0.0825995145264465,-0.0432393790128948,-0.0417123056505444,0.0440220012043482,0.058846674253882,0.0177516734367365,-0.0265943336186238,-0.00443364179416748,-0.055943341314259,-0.0535274807932557,0.0286669271629848
"Metastatic.Melanoma.24",-0.0295258274678104,-0.0481719184804841,0.0602654743044716,0.104855693488281,0.0553267038147206,-0.0290473093905248,-0.00916811407752916,-0.0581953375662961,-0.0281533545454034,0.0380212057268553,0.075895163860609,0.111686196913649,0.0737099344219866,-0.00864646861581281,-0.0235449769488475,-0.0511292746253038,-0.053377117953496
"Metastatic.Melanoma.25",0.046154363429549,0.0372162918296755,0.0641753918699951,0.0629774532684847,-0.0720111175354427,-0.00947617279680947,0.014207049255616,0.0258421337654997,0.104634230407012,-0.0655227863136895,-0.0234945172699627,-0.00487522258444384,-0.0664437127020102,-0.0462715417163103,-0.0905912303453515,-0.0776105004848394,-0.0449030948275427
