"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF701",-0.959240518256556,7.39548199125018,-3.07463466309588,0.00332868807821911,0.00793324142787406,-2.82744296195231
"PSMC3IP",0.664556112323202,8.51749502470158,3.07373429725902,0.00333720565820307,0.00795208782480076,-2.82982180222581
"REPS1",-1.17012069224932,5.22491703601281,-3.07357259101425,0.00333873758103952,0.00795428454580199,-2.83024899204051
"BTBD8",-1.16158747183248,6.63626583525793,-3.07286984435479,0.00334540269853413,0.0079687076701108,-2.83210530162062
"KCNMB3",-0.99990778607029,6.46160464958484,-3.07216339701186,0.00335211547124625,0.00798323901910135,-2.83397108894974
"JMJD6",-0.372697267111629,8.75124742055115,-3.071862182686,0.00335498149033347,0.00798860548803107,-2.83476653076193
"TCEAL1",-0.459179385458162,9.12335248218149,-3.07104928278227,0.00336272759371668,0.00800558793033992,-2.83691295251619
"ADAMTSL4",-0.693334469040328,7.70148352337388,-3.07077476868419,0.00336534721201861,0.00801036186518998,-2.83763770404023
"CELSR1",-0.72126846791955,6.56202884441574,-3.06959467326259,0.00337663034044331,0.00803541446585257,-2.84075278980488
"GTF2B",-0.38379513498813,9.48616058952669,-3.0695451164636,0.00337710493694854,0.00803541446585257,-2.84088358614184
"FBXO38",-0.454787929724448,8.23097471613922,-3.06922746349574,0.00338014852549254,0.00804118894798343,-2.84172193961195
"MCM3AP",-0.320665425925135,8.47673814082661,-3.06854651976719,0.00338668163604118,0.00805526119159813,-2.84351889079941
"TUBA1A",0.359978438196441,14.3453887503613,3.06846451865563,0.00338746916817297,0.00805566487029134,-2.84373526585986
"TTTY1",-0.743101947676063,7.61642264310329,-3.06823068652577,0.00338971581491651,0.00805953765694682,-2.84435225295903
"RABGEF1",-0.500435758611237,10.1209213221558,-3.06801363755561,0.00339180245826422,0.00806178504002581,-2.84492492687813
"STX5",-0.500228341148393,8.26329080781827,-3.06800374467243,0.00339189759410857,0.00806178504002581,-2.84495102813194
"GPKOW",-0.379975979557065,9.12672310607163,-3.06785774010427,0.00339330195134909,0.00806180935926814,-2.84533623786163
"MZF1",-0.502624653033379,8.76370489918487,-3.06781140133484,0.00339374777849348,0.00806180935926814,-2.8454584926332
"ZBTB22",-0.561799146307468,8.50463400987478,-3.06780985267917,0.00339376267911824,0.00806180935926814,-2.84546257840239
"SERPINB2",-2.32439646742817,6.93042367199402,-3.06684687471561,0.00340303998645289,0.00808237493321662,-2.84800289445284
"CASP10",-0.626406273841072,6.98844289570664,-3.06607179595664,0.00341052431623547,0.00809867538870777,-2.85004713270115
"PCDHA5",-1.10849739829677,5.99047029528682,-3.06454179844452,0.0034253435572018,0.00813238431215483,-2.85408138109155
"PANX1",0.383760921004772,8.77470403674577,3.06420533364116,0.00342861056091633,0.00813865885741635,-2.85496837243931
"ENTPD2",-0.997874928993031,4.71687223746445,-3.06348335105222,0.00343563070916602,0.00815383851780409,-2.85687143986919
"RBM39",-0.403003288821719,11.2028433303172,-3.06247321914272,0.00344547523980371,0.00817571458631493,-2.85953351272368
"AADAC",-1.42232857382926,5.88993451533577,-3.06200908342668,0.00345000745487558,0.00818497947673266,-2.86075647748165
"AK1",0.383993802370961,8.96828816976808,3.06105078849163,0.00345938271895715,0.0082046967149752,-2.86328110774504
"CLIP2",0.853388524470923,9.5639823131047,3.06103097110106,0.00345957684936986,0.0082046967149752,-2.86333331088933
"SLC12A6",-0.595354093578009,7.3548611744263,-3.06031276903816,0.00346661921391182,0.00821990324244339,-2.86522504595259
"TNFRSF1B",-1.13063624154091,8.17660115809629,-3.05940100944018,0.00347557884339908,0.00823964955256011,-2.86762616287346
"MSL2",0.574122455684202,8.42681865778277,3.05918027223473,0.00347775122765806,0.00824330090118768,-2.86820739874993
"GPR132",0.746158060959259,4.84876196664508,3.05882451474094,0.00348125508794601,0.00825010634164451,-2.86914410273774
"RPGR",-0.701138407017947,7.49233515101231,-3.05846559618393,0.0034847934290568,0.00825699100880821,-2.87008905270049
"LOC100289518",1.04763647158338,5.98052521973676,3.05799104714106,0.00348947686131024,0.00826658590018609,-2.87133831229196
"ARL15",-1.17063050526151,5.76963087952862,-3.05676907947707,0.00350156386240222,0.00829371320651454,-2.87455454296636
"POU2F2",0.569904112017257,7.43452259124792,3.05353096155968,0.00353378318156792,0.0083685068842107,-2.8830729580737
"RPL18",0.433384940994415,13.250242140364,3.05311481911996,0.00353794385981736,0.00837628881965436,-2.8841672334296
"NRIP1",-0.596116213301844,8.93014295566041,-3.05306581610427,0.00353843410361256,0.00837628881965436,-2.88429608339181
"BDKRB1",-0.922706568390199,7.0312016574272,-3.05297455842286,0.00353934724766856,0.00837628881965436,-2.88453603515491
"POLR1D",-0.517025372349778,10.7879459319061,-3.05294541764012,0.00353963888306584,0.00837628881965436,-2.88461265649479
"CCDC134",0.941127832528034,5.71901203474974,3.05246991829629,0.00354440076723056,0.00838603549336224,-2.88586283883615
"UPK1A",-0.908816368699592,7.25143103185574,-3.05213694812264,0.00354773886121136,0.00839241056083725,-2.88673820260355
"STAU2",-0.628896008781813,7.98538009676652,-3.05139621012642,0.00355517546264335,0.00840847684698107,-2.88868533035625
"GIT2",1.15160877048792,6.7489632212132,3.05083376447464,0.00356083184431636,0.0084203276057383,-2.89016357237559
"CREBZF",-0.526664101487875,6.63338974997514,-3.0505956029736,0.00356322951384309,0.00842446956137806,-2.890789460468
"MED27",-0.356398036951768,8.713997985545,-3.05024584708033,0.00356675338748253,0.00843127219350702,-2.89170855652365
"PSEN1",0.389216042878983,9.39988238928626,3.04990721116153,0.00357016833058249,0.00843781491072414,-2.89259836104007
"KLHL9",-0.463250663291674,9.16431053780313,-3.04967748230458,0.0035724867512317,0.00844176418073761,-2.89320196048337
"CUL9",-0.632799513316531,8.74658853409389,-3.0486789013548,0.00358258079182508,0.00846408243243472,-2.89582530522646
"STAT2",0.663745355332356,7.8333672275923,3.04859058878718,0.0035834747720189,0.00846466078847,-2.89605727983056
"FAAH",-1.08284432776947,6.85951278367437,-3.04847927670813,0.00358460187144647,0.00846578949498108,-2.89634966159025
"PTH2R",-1.3345188984998,6.37422846308728,-3.04816338899875,0.0035878022238374,0.00847181332789133,-2.8971793583922
"CUX2",-1.21053881103363,5.66347686101295,-3.04782001556691,0.00359128407357404,0.00847849955374468,-2.89808117973858
"POU6F1",-0.498399224105436,6.88245639019278,-3.04733371660504,0.00359622061388846,0.00848861705005279,-2.89935825294875
"GPATCH8",0.477087140028974,9.78343741827612,3.04519170312753,0.00361804035787268,0.00853857524457952,-2.90498171185875
"DAO",-0.464875775972132,8.58534495061038,-3.04468219742182,0.00362324866346513,0.00854931945764059,-2.90631891691215
"MVD",1.46978322097698,6.11668892566663,3.04328737010999,0.00363754286012231,0.00858149472645825,-2.90997885941851
"COPB1",-0.365482705994049,11.202641804694,-3.04271778375589,0.0036433951334452,0.00859374622738639,-2.91147308170324
"CHI3L2",-0.841988083420949,8.13894319665004,-3.04244039571066,0.00364624837210765,0.00859892069522728,-2.91220069566045
"CUZD1",-1.01453206723666,7.0358871034864,-3.03903874034426,0.00368140844272859,0.00868026847825282,-2.92111976397944
"TERF2",0.385133930619878,10.0229512782352,3.03871940992946,0.0036847253189045,0.00868651842943332,-2.92195668234824
"DLG4",0.721551333832577,6.84379251226576,3.03860781457881,0.00368588511536741,0.00868768185453283,-2.92224914291597
"HIGD1A",-0.460829941316025,10.6895502687082,-3.03852954142029,0.00368669880210496,0.00868802922115426,-2.92245427073373
"GRSF1",0.302437805921391,9.45344719416112,3.03822313319265,0.00368988567714795,0.00869396807812289,-2.92325722875424
"PHKG1",-0.984368964880487,6.85181600032088,-3.03772560103792,0.00369506587079938,0.00870460052201502,-2.92456091554561
"AGTPBP1",-0.607474297782418,7.65475850514017,-3.03709640999957,0.00370162660285932,0.00871848072158284,-2.92620937449031
"EDRF1",-0.458988608568102,7.19618818867896,-3.03627761979453,0.0037101806397041,0.00873704991170341,-2.92835421796394
"MARCO",-1.57253373490711,5.51140938118842,-3.03583353462538,0.00371482779641134,0.00874641380234878,-2.92951734153118
"RASA3",1.16236730928474,5.75428089784197,3.03550988713634,0.00371821805268847,0.00875281552428325,-2.93036494609579
"ZBTB24",-0.506958662934387,9.1438795908468,-3.03538838164807,0.00371949158756432,0.00875423299824027,-2.93068314200273
"TBC1D3E",-0.756433355460807,9.31935091183115,-3.03529609897845,0.00372045910187991,0.00875492983746835,-2.9309248038596
"BTN3A2",0.993289872772745,8.10241599819211,3.0349926936701,0.00372364173655577,0.0087608380734303,-2.93171929903135
"BICDL1",0.689217799926389,7.92523486413781,3.03479517549081,0.00372571501305225,0.0087641345941166,-2.93223648889193
"ZFAND6",0.686861100886858,11.4463802523009,3.03467752495258,0.00372695046068753,0.00876545942584861,-2.9325445387517
"TRDMT1",-0.843267446650746,6.91573666969136,-3.03429689014587,0.00373095012869208,0.00877166742355444,-2.93354111507243
"GPN1",-0.432832288740041,9.88825381338352,-3.03424066457798,0.00373154128065682,0.00877166742355444,-2.93368831715888
"RBM23",0.450524748866259,10.2391740321634,3.03423430116387,0.0037316081906938,0.00877166742355444,-2.93370497685815
"NPY6RP",-0.947068421032774,7.01292236560828,-3.03388089365984,0.00373532596156668,0.00877882393887309,-2.93463017480073
"FBXL7",-0.728307639918647,8.60090946953243,-3.03337351464699,0.00374066953308426,0.00878979816937928,-2.93595832786385
"SPANXA1",-0.871697128075354,4.90312527234599,-3.03322398667126,0.00374224568177909,0.00879191737742658,-2.93634971366019
"FOLH1",-0.700244666398974,6.93589174118863,-3.03164888193188,0.00375888633978317,0.00882942154286304,-2.94047168829755
"PRELP",-0.6817580133129,9.85778397627494,-3.03135713618117,0.00376197615462039,0.00883508773056471,-2.94123500803746
"GIMAP4",-1.55863705199689,6.84061961601933,-3.03112920632358,0.0037643917608842,0.00883916876826383,-2.9418313248013
"DTX4",-0.678693290183521,9.61547486175234,-3.02973980874751,0.00377914800855627,0.00887222018069234,-2.94546562593458
"FGD6",-1.15377848558957,6.55433639773916,-3.02967244170528,0.00377986485974484,0.00887230565368371,-2.94564181075279
"CNGB3",-1.23121853508386,6.60413254343005,-3.02881089553469,0.00378904376420209,0.00889225011544834,-2.94789476699017
"SNRPF",0.618379837088979,10.6890891468176,3.02745510771918,0.00380353050380223,0.00892464175617731,-2.95143926026421
"ERH",0.343981079877221,12.3966327992894,3.02713639852739,0.00380694345084832,0.00892978872355297,-2.95227231314272
"ZNF492",-1.06750810514903,6.12164019856254,-3.02712236859694,0.00380709375828138,0.00892978872355297,-2.95230898363265
"GRIA4",-1.09132672550039,6.92614762787714,-3.02624210614996,0.00381653540612802,0.00895032466915527,-2.9546095154503
"ACADS",-0.458097787260634,8.78884576564621,-3.02394883986742,0.00384123569956727,0.00900663051369495,-2.96060066731157
"TMEM97",0.789051571219533,10.2952850320287,3.02310615422797,0.0038503495539842,0.00902637681308881,-2.96280137811822
"LGALS8",-0.501801857159304,8.42789127605197,-3.02272727327541,0.00385445382523094,0.00903437415552512,-2.96379070176602
"ERAP1",-0.60195356294984,7.32316920762186,-3.02249661477386,0.00385695446088111,0.00903861057070971,-2.96439294822581
"LINC03124",-0.731571669199021,7.50536452224444,-3.02181870623562,0.00386431263906802,0.00905422686447582,-2.96616277161714
"OR10H3",-0.620122952653469,7.99063556724421,-3.02014086618774,0.00388258073815529,0.00909539530089954,-2.97054192496685
"MRPS30",-0.412578215778799,9.01420370723389,-3.0192829016166,0.00389195328284712,0.00911571382343157,-2.97278054572528
"RNF220",0.416516162317075,9.5999237176131,3.01768511619114,0.0039094640986971,0.00915508304290795,-2.9769483293403
"MCMBP",-0.514863326255485,9.11052393605213,-3.01726356664469,0.00391409629353244,0.00916428471383901,-2.97804767161436
"ENDOU",-1.25247013324319,5.7709407544229,-3.01643039141855,0.0039232667161988,0.00918410677064923,-2.98022015762077
"DNAJB9",-0.63336878639493,9.095245543485,-3.01542402120549,0.00393437018106858,0.00920844602242923,-2.98284368159836
"F7",-0.592769719052052,7.55570943198077,-3.01534731344485,0.00393521771422587,0.0092087767006086,-2.98304362706868
"PDSS2",-0.463983975859416,7.32418630232773,-3.01484571434672,0.00394076401544971,0.00922010084289408,-2.98435100044928
"DPAGT1",0.333278058704851,9.59867069781982,3.01446507295785,0.00394497772894104,0.00922830366122395,-2.98534300594822
"RABGGTB",-0.448137292472181,9.30507712036974,-3.01348730849342,0.00395582090814198,0.00925200875717726,-2.98789079392911
"NELL1",-0.770687006299042,5.79529526632366,-3.01328250489198,0.00395809565447092,0.00925566880176583,-2.98842438248468
"CELA3B",-0.967905281873882,5.62956869729186,-3.01204802538375,0.00397183286423699,0.00928612671988275,-2.99164011266963
"PAN2",-0.763991357005683,8.17703587460666,-3.00976730593596,0.0039973297323736,0.00934406281470409,-2.99757877563735
"NPAS3",-0.712025804057964,6.44740129118113,-3.00891995907363,0.00400684135597139,0.00936461811086412,-2.99978433472974
"PUM3",-0.542822662971661,9.50121287533253,-3.00760161913757,0.004021681981926,0.00939761852371561,-3.00321496941267
"HCFC2",-0.581669767608768,7.50067176256962,-3.0069186104348,0.00402939081177479,0.00941394495515706,-3.00499190308424
"ITFG2",-0.478458650342393,7.3368785534431,-3.00457970156824,0.00405589370086959,0.00947416660079516,-3.01107470978825
"LMF2",0.428627910026032,10.0319185324372,3.00428131598406,0.00405928647720021,0.0094803934043012,-3.01185048130318
"DGCR6",0.548990272926881,10.6953483223921,3.0038973845432,0.00406365584478891,0.0094888983811251,-3.01284858300538
"RFNG",0.42932224178951,9.35616292190548,3.00352007222895,0.00406795415915919,0.00949723442816055,-3.01382938915642
"GNAQ",0.421096982847505,9.9865140121033,3.00323736358643,0.00407117753579697,0.00950305834036103,-3.01456422027341
"NSUN7",-0.883785220899209,6.59542861759988,-3.00305438169208,0.00407326512238527,0.00950622944886014,-3.0150398103204
"GPX2",-1.27271222980891,7.94518312758754,-3.0027961539197,0.00407621286685327,0.00951140650875085,-3.01571093779781
"POU5F1P4",-1.01514913910081,4.98925100931769,-3.00265369111528,0.00407783997287961,0.00951350069894029,-3.01608117756502
"SH3D21",0.708018484144127,7.94339760006468,3.00253307840011,0.00407921799696612,0.0095150131417605,-3.01639462246709
"KDELR3",0.522416587056206,9.28087619900548,3.00186065052899,0.00408690858697487,0.00953124683698182,-3.01814194567679
"RTF2",0.615023293921162,10.5125432536595,3.00129686577265,0.00409336704663018,0.0095446017383782,-3.01960674320849
"SLC38A2",-0.741545160660092,11.0073089700763,-3.00109638860358,0.00409566591582701,0.00954825458188243,-3.02012756610139
"SCAND1",0.40478548596672,10.5217162779107,3.00070439046375,0.0041001644351018,0.00955703326229753,-3.02114587329782
"FNTB",1.18578763475103,7.7508965698822,2.99911702451266,0.00411842801942042,0.00959788792586647,-3.02526846641875
"CLDN18",-0.571401514680264,6.10597291309108,-2.99797441856094,0.00413162133276457,0.00962585483935185,-3.0282350047574
"WNT3",-1.4019950012561,6.14376828599802,-2.9979498873888,0.00413190501847169,0.00962585483935185,-3.02829868605841
"MAPK3",0.657628426697784,9.64592645162389,2.99754774624696,0.00413655808896012,0.00963497336940889,-3.02934256526454
"OGFR",0.413628273412099,9.18976504203732,2.99705668362022,0.00414224667698297,0.00964493740367496,-3.03061713263001
"JMJD1C",-0.691319611165875,8.43344388794598,-2.99705076189138,0.00414231532023773,0.00964493740367496,-3.0306325017473
"SCHIP1",-0.673338816413862,8.40573194560118,-2.99410342756236,0.00417661213659361,0.00972281940930598,-3.03827927425987
"SLC1A2",-0.703441537776912,6.27654634316045,-2.99404835634626,0.00417725548975628,0.00972281940930598,-3.03842210417062
"FOXJ2",-0.294611189142252,9.57850942311337,-2.99328106345898,0.00418622878393694,0.00974196628837297,-3.04041192232254
"FZD6",-1.07252868093393,7.89402342715908,-2.99225382946083,0.00419827017517406,0.00976824497039518,-3.04307527881892
"CHN2",-0.614196059498785,7.3864971688559,-2.99186420947416,0.00420284580436931,0.00977714655542756,-3.04408529478399
"SLC18A3",1.00520524276036,5.85450657485745,2.99092392228907,0.0042139075392206,0.00980113100319255,-3.04652242687445
"EPB41L2",-0.723856433320808,8.45193571761417,-2.9907874881862,0.00421551483264456,0.00980312072460361,-3.04687600553516
"CROCC",-0.578186530479443,7.415665453935,-2.98987925497817,0.0042262290652669,0.00982628401961752,-3.04922946472608
"GPR35",-0.61511035304847,7.87842045746351,-2.98955285901946,0.00423008568841333,0.00983349746678933,-3.05007511433501
"SRSF11",-0.57671822253471,9.3751194959654,-2.98847495009854,0.00424284535555579,0.00986140117488269,-3.05286737113831
"VPS41",0.317008761080029,9.33576628726793,2.98750647649034,0.00425434019486726,0.00988635569432796,-3.05537553292779
"PNISR",-0.631659201592504,9.53100242396144,-2.98652314435859,0.00426604109932493,0.00991178009517066,-3.05792158494864
"ZDHHC14",1.18439985098232,7.56566800899938,2.98589153667509,0.00427357257154773,0.00992750984507588,-3.05955663508158
"DNAAF11",-1.02580266632406,6.65718836747539,-2.98399637904423,0.00429624545923134,0.00997840123671491,-3.06446117729209
"TCHH",-1.13899653186705,6.07947315516893,-2.98297985765525,0.004308452868476,0.0100049718525483,-3.06709095558851
"RAB9A",-0.550741690288621,9.97604193508611,-2.98289765929862,0.0043094414008231,0.0100054854745962,-3.06730357794084
"SKP2",-0.518970357524479,7.54781098096667,-2.98193689918572,0.00432101136760751,0.0100290663979711,-3.06978846572755
"BHLHE40",-0.675687864300874,10.423774900137,-2.98192654558301,0.00432113620858972,0.0100290663979711,-3.06981524094781
"IFNA14",-0.700768361966549,7.43215160444794,-2.98158144853099,0.00432529922133927,0.0100369419019475,-3.07070765089899
"FRS3",-0.491666616439133,8.36355291568479,-2.97987778899989,0.00434590584339003,0.0100829655323777,-3.07511218385203
