"Gene","Module","GS","GS.Pvalue","MM","MM.Pvalue"
"ASS1","brown",-0.544154494737794,1.37625269996124e-18,0.851354252581926,7.56569571884288e-64
"AKR1C2","brown",-0.504224249429478,8.77315065859317e-16,0.850278708361639,1.57575033910679e-63
"IRX4","brown",-0.508054385876201,4.89588135847675e-16,0.849743187716838,2.26572984596654e-63
"DSC1","brown",-0.437122561432791,8.02704003308808e-12,0.84971339244684,2.31188021198012e-63
"ALOX12B","brown",-0.429259575771544,2.06321856189852e-11,0.849658209659241,2.39982308028481e-63
"SDC1","brown",-0.443163990260432,3.82211338218979e-12,0.848732392572112,4.47958486300227e-63
"FLG","brown",-0.415607964015338,1.00396137808308e-10,0.848556900892434,5.03979839861192e-63
"KRT5","brown",-0.411401821688144,1.61171723887338e-10,0.847789241233317,8.42386083592533e-63
"ITGB4","brown",-0.470739826273871,1.06669149071694e-13,0.847459809903199,1.04923647265798e-62
"INAVA","brown",-0.542101731144924,1.95918256295819e-18,0.847356303047453,1.12405998170107e-62
"KRT2","brown",-0.525848356101257,2.95325436548034e-17,0.846425141467977,2.08412478383974e-62
"CALML3","brown",-0.359281496412328,3.38036559781499e-08,0.846280417223181,2.29317940462463e-62
"PKP3","brown",-0.438672188357367,6.64512928412177e-12,0.845156683247476,4.80099732424021e-62
"GJB5","brown",-0.493828781708085,4.12042003351439e-15,0.844232802776978,8.77499929638403e-62
"ZNF185","brown",-0.478938325559489,3.45452985031486e-14,0.84422648088649,8.81116709637628e-62
"MAPK13","brown",-0.40812556075939,2.31977509610129e-10,0.843682178715366,1.25469060836533e-61
"KCNK7","brown",-0.592165455395674,1.70393583460348e-22,0.842421567335431,2.83014904400807e-61
"CHP2","brown",-0.670288196305422,1.8747712114014e-30,0.84232263444055,3.01580078553478e-61
"JMJD7-PLA2G4B","brown",-0.457856869156728,5.90952292356158e-13,0.841527550804278,5.01730327225176e-61
"AKR1C1","brown",-0.525633639009328,3.05806080493963e-17,0.839725929828956,1.57367903598987e-60
"TNXB","brown",-0.559337464964107,9.35428587419437e-20,0.839680752246932,1.61914594215847e-60
