"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBXL15",-0.383162102169334,7.13161526213297,-1.93880960292249,0.0537730541879273,0.109828767787654,-5.0711677348043
"TMCO6",0.231286789388634,7.73865091149489,1.93778552157724,0.0538986879459646,0.11006812719302,-5.07310997199696
"YTHDC2",-0.22283398521698,7.07486636778655,-1.93744226248807,0.0539408539438296,0.110136986309676,-5.07376076326643
"RTF2",0.234605682192747,10.1467461428781,1.93735670599349,0.0539513680306373,0.110141206787456,-5.07392295405483
"DLX4",-0.244764757531296,6.366215214311,-1.93696032353922,0.0540001021709479,0.110223439606605,-5.07467429211885
"ADNP2",-0.187325260271114,8.54363544614672,-1.93687559532477,0.0540105240701693,0.110227457090458,-5.0748348741227
"GSS",0.190653135878184,9.45635402944049,1.93678820959649,0.0540212746241619,0.110232143947488,-5.0750004856913
"IFI44",0.396223368246779,7.76179950852672,1.93656351902321,0.0540489252433066,0.110271309067043,-5.07542628130154
"SF3B2",0.257405146027372,9.87668310630747,1.93647341184107,0.0540600172521284,0.110276684128677,-5.0755970237893
"HERC5",0.331229730026772,8.87087009051473,1.93581731291079,0.0541408393538778,0.11041582626291,-5.07684002230081
"QKI",0.204128614197257,9.22622715363423,1.93578222959621,0.0541451639792197,0.11041582626291,-5.07690647718896
"GPX3",-0.590718278269861,9.35088409844518,-1.93554174369854,0.0541748158385902,0.110459018564406,-5.07736197472867
"ARHGAP11A",0.376279763292622,5.20462266890597,1.93530215720454,0.0542043703650227,0.110501998935199,-5.07781571431735
"NTRK1",0.32214656607088,3.67577260619425,1.93520526263472,0.054216326775651,0.110509095642913,-5.07799920215059
"EBNA1BP2",0.255080254041966,9.01654990996965,1.9350105166536,0.0542403643684173,0.110530220897402,-5.07836796290294
"NAT2",-0.275428588901354,5.11335318409841,-1.93497913250822,0.0542442389664536,0.110530220897402,-5.07842738691316
"PRPH",0.256883249124296,7.33639852681403,1.93491528906429,0.0542521216154134,0.110530220897402,-5.07854826779568
"XAGE1B",0.914304641407559,5.0028107888817,1.93457813544363,0.0542937653983013,0.110597782694649,-5.07918656894227
"IGHD",0.624691826690798,6.83218918688388,1.93448411999938,0.0543053825727125,0.110604167973383,-5.07936454033557
"HNRNPA2B1",0.208032081934231,11.548258125519,1.93434507618306,0.054322567579788,0.110621889531916,-5.0796277351805
"OR2S2",0.229950480578664,7.42921176995919,1.93397446611588,0.0543683951424672,0.110697923838637,-5.08032917042423
"DIO2",-0.367831328959457,7.20452669181693,-1.93370211179342,0.0544020936454632,0.110733759900761,-5.08084455905228
"GIMAP6",-0.645922965404065,6.81512500591439,-1.93369494409571,0.0544029807442497,0.110733759900761,-5.08085812186878
"RAC2",0.54607670937825,8.50794961343761,1.93280872486647,0.0545127559136559,0.110939882059959,-5.08253466350917
"CDKN1A",-0.423133385377483,10.1374339691127,-1.93260778601002,0.0545376718786473,0.110962923759315,-5.08291469448287
"RPL28",0.153406527464758,12.7430402811199,1.93258016056622,0.0545410981189856,0.110962923759315,-5.08296693885283
"EPHB1",-0.265651750289914,6.39086455520903,-1.93215200612696,0.0545942230033613,0.111034612436167,-5.08377655871633
"HSPA4L",-0.376058863884821,6.52025276795425,-1.93215160765147,0.0545942724659472,0.111034612436167,-5.0837773121339
"H3C6",0.236204130182365,7.4866566646877,1.93209031085582,0.0546018816581563,0.111034612436167,-5.08389320726572
"GIN1",-0.2164393918551,6.99637469297196,-1.93179326444482,0.0546387686840561,0.111092297656542,-5.08445478875068
"MEX3D",0.304634923092678,7.31431894742532,1.93150315974433,0.0546748138857752,0.111148253547961,-5.0850031659736
"CADPS",0.369770212398651,6.10107993927595,1.93134439481681,0.054694548711049,0.111171039850876,-5.08530324138359
"TOP3A",0.183519152763201,7.03708217763332,1.9308398344723,0.0547573063656229,0.11128125275894,-5.08625673287438
"QRSL1",0.165098708300539,7.57444914604296,1.93077033899777,0.0547659550079656,0.111281484704514,-5.08638804287314
"HOXB8",0.300601403162178,4.60730986175799,1.93054424245882,0.0547941004310731,0.111321326818442,-5.08681521512488
"ZBED2",-0.430260658571926,6.44721971324488,-1.93039279415193,0.0548129601266232,0.111342294296781,-5.08710132475203
"A1CF",0.187961345684355,7.6753362816882,1.92852408695061,0.0550461170055196,0.111795130026581,-5.09062981948191
"TMEM164",-0.196367729551378,9.38298488216828,-1.92846873811228,0.0550530355012408,0.111795130026581,-5.09073427881189
"VAV2",0.392791165217244,4.90201917487224,1.92825080903304,0.0550802833004562,0.111833044838781,-5.09114554607976
"SLC43A1",-0.206915746117909,8.08551554986692,-1.92793002504713,0.0551204116979095,0.111897096081121,-5.09175083533182
"FBXO11",-0.241525620311215,7.90656614027549,-1.92778979759246,0.0551379611232276,0.111915298114222,-5.09201540077156
"P2RX3",0.410250359349948,4.85817983188378,1.92734140796245,0.0551941084248876,0.112004659573588,-5.09286124713667
"AAMP",0.16487226325485,8.95828361832863,1.92713386805258,0.0552201127878208,0.112004659573588,-5.09325268791981
"MCUB",-0.394279801358774,8.27888894064392,-1.92711315165689,0.0552227090776978,0.112004659573588,-5.09329175885159
"TRAF3IP3",0.41616874085136,6.17431448048152,1.92711167472004,0.0552228941792609,0.112004659573588,-5.09329454432539
"TUBA3D",0.24313961335546,8.61706822898113,1.92709537345517,0.0552249372190042,0.112004659573588,-5.09332528805262
"ARSF",-0.366575934592904,6.59261311125148,-1.92667641241725,0.0552774674282851,0.112077040332609,-5.09411535047833
"TAF5L",0.138847819627681,8.45986442438336,1.92667363128364,0.0552778162726442,0.112077040332609,-5.09412059449
"SP140L",0.403388739995973,7.24563989688391,1.92629361788582,0.0553254996506017,0.112156279531125,-5.09483706607459
"ZNF358",-0.298357256737527,7.8783654629168,-1.92606313408856,0.0553544371399929,0.112190614587743,-5.09527155018147
"ZBTB33",-0.419866409079941,4.86113843431332,-1.92602166291763,0.0553596452379431,0.112190614587743,-5.09534972198554
"SST",0.346789184903073,5.82801908768381,1.92583663305551,0.0553828869587614,0.112220273979066,-5.09569847740115
"IRF1",0.387148294189691,8.71784681600723,1.92561841280505,0.0554103082654399,0.112258391776425,-5.0961097504046
"PAQR5",-0.365757721622558,4.20234695127311,-1.92467741134425,0.0555286839165811,0.112475906895494,-5.09788271060741
"TG",-0.242182673854466,7.14939250147258,-1.92462784499941,0.0555349251164347,0.112475906895494,-5.09797607633545
"BAZ2B",-0.308612333638075,8.12539136022539,-1.92278362931247,0.055767560095319,0.112922271915362,-5.10144828296455
"ZNF343",0.431814893981283,5.32028400373007,1.92274344360695,0.0557726383261699,0.112922271915362,-5.10152390696074
"SLCO2B1",0.388726988595915,7.61051306594974,1.92242524047767,0.0558128630582698,0.112986170069365,-5.10212266769788
"ACTR8",0.173898437002305,7.15821945826886,1.92201793166996,0.0558643873245102,0.113072919330067,-5.10288895810364
"CEP15",0.303049618924682,9.17063212426993,1.92164211319935,0.0559119634573232,0.113151651640546,-5.10359586482684
"VILL",-0.398424069183758,6.32144059205545,-1.92132650052864,0.0559519441740926,0.113214990702358,-5.10418942237622
"INKA2",-0.415968974907031,5.61399497986448,-1.92109211397996,0.0559816509554181,0.113257524718029,-5.1046301608361
"NRG1",-0.19660638295207,5.78909347161541,-1.92078743229515,0.0560202868969194,0.113318107485096,-5.10520300390549
"LAMP2",0.269130368304969,10.0031012761978,1.920525802106,0.0560534814204005,0.113367666238654,-5.10569483414829
