"Gene","Module","GS","MM.MEcyan","MM.MEsalmon","MM.MEblue","MM.MEbrown","MM.MEpink","MM.MEyellow","MM.MEmidnightblue","MM.MEblack","MM.MEgreen","MM.MEpurple","MM.MEgrey60","MM.MEturquoise","MM.MEred","MM.MEtan","MM.MEmagenta","MM.MEgreenyellow","MM.MElightcyan","MM.MEgrey"
"FNTB","turquoise",0.00195459169394509,-0.422556439623389,-0.256253564508042,-0.354285896941038,-0.201559443110563,-0.432975206852237,0.0445128770545962,0.447880895360741,-0.364754864330948,-0.108858603339698,-0.357625133767708,0.529098921213159,0.629423802164691,0.516491710310342,0.449502910177457,-0.53209939602277,0.0395064739124528,-0.0770473273640648,-0.306045318343765
"PLD1","grey",-0.24285906244337,-0.208775556570312,-0.31130741927035,0.268107105704268,-0.0331429912965376,0.130681978728237,-0.00212514138320512,-0.0604227412842473,-0.104638394381351,0.00889669986158111,0.22549562271015,-0.353939377926105,-0.0216080385371243,-0.193944133887425,0.176258996165021,0.19375734956697,0.259075073928571,0.347967641748464,-0.261077359087212
"DTX2P1-UPK3BP1-PMS2P11","turquoise",0.0422216068856658,-0.00599004153829885,0.033021768763364,-0.361755315623605,-0.267108151207816,-0.455974080384848,0.0125705844570431,0.335444673671947,-0.243089074170335,-0.209395958585405,-0.551981023886724,0.545635431184594,0.617803524798105,0.621619334109377,0.305438410325618,-0.32421996274386,-0.176043503688107,-0.237057146552939,0.0222557985291041
"BAD","turquoise",-0.221794349595808,-0.278466878999657,0.0722587497217699,0.184231809765129,0.0690301357904358,0.0523425298706833,-0.500772256506312,0.184633822145007,-0.515052460574241,-0.558717557485039,-0.384274628391943,0.0934908575832329,0.848412697179312,0.216412180013397,0.359757132523132,-0.393314175567377,-0.167421129359184,0.0981238791001942,-0.219582608262918
"PRPF8","turquoise",-0.0305999655332852,-0.245268241305556,-0.0450619304016174,-0.0235960467567214,-0.137693722043382,-0.138996875852907,-0.241280466635859,0.331157057437105,-0.431402327020557,-0.387151107418457,-0.463862196456545,0.369892578523025,0.859067404700219,0.464983751284419,0.447524332786578,-0.325065044718998,-0.0921476405315352,0.010219777279285,-0.263423210992136
"CAPNS1","turquoise",0.043676510892617,-0.196003601921208,-0.109616525009311,-0.0666207940767314,0.201293339520038,-0.0027450665789358,-0.260357989538368,-0.00660169759086718,-0.548367304189496,-0.548640443457939,-0.542276426841888,0.284944890564242,0.814232993480254,0.481926733839659,0.584104077770963,-0.157783289257498,0.161432476869292,0.203206494494357,0.0596274112256268
"RPL35","magenta",-0.113762119532679,-0.0253351758683277,-0.0750977671411111,0.318880897634785,0.134574570418582,0.243840033189221,-0.0942267425640747,-0.334106464961664,-0.114206352034141,-0.134929275929219,0.0945728694872497,-0.0408034562696682,-0.160452160237126,-0.256942481266719,0.0787868495646432,0.696098552531912,0.210246796230476,0.487080088847415,0.113873211406242
"RPL28","magenta",-0.0271233889770246,-0.0173467583058244,-0.13156019474853,0.299531341822002,0.0146435550876523,0.125641534685039,-0.129984705016417,-0.194491905540213,-0.265689986408884,-0.222575491295132,-0.0447443685558196,-0.013649553578052,0.106755070214918,-0.0738083557398906,0.214593198724554,0.621455290398515,0.186433145202792,0.461280170362266,-0.0239842332063331
"EIF4G2","purple",-0.16782050558893,-0.0307841319721001,-0.0487058592757917,0.193590322157809,-0.325624428833033,-0.00228609895688331,0.328938777552501,0.156775785101883,0.548431451412045,0.673073213724116,0.760748748832908,-0.396897438020867,-0.628704618139983,-0.530574178377985,-0.427552597066969,0.241016764555129,-0.101174780824593,0.0452319537689829,-0.355485166011139
"EIF3D","turquoise",0.0681096679181611,-0.2809536567744,-0.0936685281016985,-0.221390077487432,-0.15840155447099,-0.285305622426117,0.0132956584929412,0.331335327106643,-0.258441228632716,-0.149530284291395,-0.349388249578482,0.564439630205559,0.644974175034685,0.464159038127728,0.43857043106385,-0.0593307531667778,-0.018292325184554,0.0931885463977017,-0.147194178285348
