"Gene","Module","GS","MM.MEbrown","MM.MEpink","MM.MEblack","MM.MEgreenyellow","MM.MEpurple","MM.MEsalmon","MM.MEmagenta","MM.MEcyan","MM.MEred","MM.MEturquoise","MM.MEyellow","MM.MEgreen","MM.MEblue","MM.MEtan","MM.MEgrey"
"RPS11","grey",-0.0176745763173844,-0.0829667006559427,0.066977114864887,-0.193345632385839,-0.310376639621139,-0.365386674667516,-0.161130567812598,-0.187960135991714,0.00654122903123497,-0.199302344578021,0.0771712795835241,0.129481170888592,0.193391902755831,0.0885407138041191,0.192909852340052,0.036346938575132
"RPL9","pink",0.0144410845838312,0.469808756781993,0.615952397254491,0.263916879592163,-0.0852452375241718,-0.363892642535944,0.00761013978337908,-0.451745710005453,0.028614909817801,0.0106520028230592,0.0456846419269394,0.469431655944876,0.00575164768113241,-0.32940190968719,-0.317221538905154,-0.220108291710503
"DDX5","pink",0.1739848347381,0.618764173472758,0.67482826470683,0.372298364738593,0.104575517264919,-0.129874956742633,0.107531594834191,-0.322794623271125,0.167659731767601,0.195278618548341,-0.148472147097708,0.360964277015909,0.0513949038080128,-0.397649709164603,-0.456554049093517,-0.373203828449796
"RPL6","yellow",-0.0334875598083473,0.209945680308293,0.439305646197363,-0.0233566105137817,-0.241204556596357,-0.30336143448311,-0.00788144971244414,-0.25057564589316,0.0239333867971618,-0.127313028705834,-0.0717689394328242,0.376056864523294,-0.090377809944314,0.0197980135929432,-0.0720313366546318,0.0952673137266357
"CTDNEP1","blue",-0.0373941000939135,-0.186360829553411,-0.0857364367584146,-0.293417788599233,-0.190974437513362,0.0522078861108244,-0.0792589086170347,0.282784031968753,0.19034245300866,-0.079232085141168,-0.267376085612582,-0.0567260346239688,0.149841921922038,0.294934076066238,0.16773350659031,0.26034461402117
"RPL10A","red",-0.210387094757205,0.186383702374546,-0.0871742271308172,-0.113734367475183,-0.195820484719733,-0.0219185650089696,0.00697671044012674,0.357429570081622,0.517114650956096,0.495363006450443,-0.408481762003469,-0.376267873163751,-0.0606399999176148,0.116537018963086,-0.152394753764927,0.0410080917653087
"CBX3","brown",0.398414611177667,0.767033741778186,0.59415890643923,0.733430222056445,0.599477034763523,0.256320426949499,0.41934076810713,-0.272814794246727,-0.0871434550832826,0.363849568305237,-0.0724965143173017,0.226712575188317,-0.25167675987921,-0.745827627876881,-0.713655000294376,-0.28637894087149
"RPL17","brown",-0.0787929285862701,0.520941625822167,0.463349785550525,0.349307337093304,0.0412319493816878,-0.2808719439534,-0.0791316812863538,-0.252992330360673,0.162620569539164,0.261460363603223,-0.100760432540857,0.206186613396178,-0.0789156734556634,-0.298110641869649,-0.396091963312584,-0.247541066728582
"PSMB2","magenta",0.121581778256649,0.0417502596804086,-0.322569176142139,0.225702198229141,0.166118839772259,0.328430585736087,-0.00768943208303974,0.44652388855068,0.218817424970488,0.457004397625883,-0.230108306438837,-0.497898598222726,0.186104009007239,-0.114693634074614,-0.131275431489129,-0.0574033200689107
"KHDRBS1","brown",0.131605071984182,0.69981074776212,0.726881464793779,0.607830039390447,0.16583959119552,-0.0752108745810303,0.181267163125386,-0.348608949780714,0.0111833925979913,0.232149706855045,-0.132295229127234,0.360642451801869,-0.135545230049451,-0.501203370381107,-0.553009882604389,-0.256593661008445
"DDX39B","yellow",0.0230588836359347,0.296112308917966,0.609320683247606,0.265935912322356,-0.00584000968274665,0.0382617064145212,0.337843620383839,-0.3574104197,-0.331910062067237,-0.157677087310191,0.0993507104676503,0.652341410028407,-0.274670608235322,-0.329521832547316,-0.314718796292844,0.222998243284814
"RTCB","magenta",-0.263832645951386,0.148068597370769,-0.274603839337967,0.120693640645599,0.381027697253571,0.153167286811268,-0.218260859815009,0.399699072418544,0.397214707701059,0.568433342000098,-0.352199470055189,-0.494677952954568,-0.125233637859283,0.0613234783361369,-0.185529474081538,-0.25751760868167
"ERH","pink",0.147300844776005,0.474673328517159,0.617580136237646,0.535331210201346,0.115185124142467,-0.0376311234915678,0.133333306681761,-0.35988887472986,-0.208309536706669,0.00915841509064086,0.0354963169778734,0.489616717768014,0.00376795401813058,-0.51037829666282,-0.383652744178674,-0.02728510366913
"SRSF9","red",0.01532969223579,0.354398207067009,-0.120956049547923,0.321048443968344,0.264184211017802,0.177901614438198,-0.16958012583745,0.428155128611542,0.489153292296001,0.752396551564929,-0.465011358952128,-0.525927615357759,0.0749625954085695,-0.186998186320275,-0.350942460775668,-0.28769252595247
"ABCF1","turquoise",0.205749451036067,-0.158871907705828,-0.11136775910972,0.0877820690822571,0.204386834721698,0.2576818357493,0.330553669965961,-0.169370074574409,-0.511829742540273,-0.182839732112051,0.501724982338323,0.0611667438192307,-0.310435421779799,-0.16670685562002,0.179433349959653,0.120717329254306
"DAD1","red",0.0197940752043607,0.190569123332528,-0.34909834189246,0.192396305837206,0.417301813550086,0.534752843037364,0.108634485505396,0.694689479235414,0.41182078725058,0.733338534834391,-0.478857079651722,-0.640357183919873,-0.176693051611076,-0.112647284139207,-0.34821088151673,0.0865822648524837
"YY1","brown",-0.153702843922406,0.472559962297719,0.493977762199615,0.275073247447857,-0.016288779028563,-0.153515242394219,-0.0766789247997788,-0.193395213083278,0.244904319691941,0.153668571103518,-0.262272344646446,0.173848827540839,0.0929062922099151,-0.0991671290952666,-0.318164182134454,-0.263107491826268
"JTB","red",0.162598986470455,0.454875519887409,0.101211884587814,0.28739669165723,0.123020430653361,0.346383545586189,0.288172145158399,0.366011172732439,0.397373797635018,0.620204871156664,-0.435081075554436,-0.277100114049641,0.00905290246325438,-0.316439780340108,-0.461978226789872,0.0588196683670849
"KAT7","turquoise",0.0274036859918725,-0.23404988851152,-0.0373867718700356,-0.0418145886740207,0.0366850857898282,0.0982583848511483,0.236511537614732,-0.288733268829326,-0.513556172279456,-0.343659630720155,0.498718929344712,0.207285319605313,-0.265419003297468,-0.0192063234685029,0.222838090178455,0.171230051167439
"ZNF146","pink",0.0730932034972478,0.479218451910124,0.765021686783204,0.354234615063342,0.0491381494754591,-0.216574656209195,0.192320380742329,-0.569957211262442,-0.263626040730499,-0.208888099193637,0.0452048214791328,0.643391122171103,-0.234045376787932,-0.317631872334667,-0.359857128642173,-0.0701327221553426
