"Gene","Module","GS","MM.MEturquoise","MM.MEblack","MM.MEpink","MM.MEbrown","MM.MEyellow","MM.MEblue","MM.MEred","MM.MEgreen","MM.MEmagenta","MM.MEgrey"
"WSCD1","turquoise",-0.593556621134874,0.660194913974706,0.228986170048631,0.0577171265343608,-0.624423892524172,-0.555821396147376,0.483157489614518,0.0226970664306662,-0.0213476367586352,0.181172575787835,0.122232470416941
"PCNX1","turquoise",-0.505638630100711,0.527686336498498,0.252488453242567,-0.0781571965424292,-0.533052535909105,-0.378036998497255,0.425654612225648,0.0838852574859744,0.127519186001173,0.334800092038523,0.0156721886984521
"DOCK2","black",-0.271735155779622,0.550757076433518,0.795394719060141,0.478962602472026,-0.412196873776772,-0.725048902043992,-0.0484174163109541,-0.212899721122297,-0.530817463527023,-0.147154189772762,0.045679302795568
"MZT2A","green",-0.153956446613814,-0.146414225521086,-0.618033036389685,-0.405772637509597,0.063590901180396,0.337917946928601,0.337543295517497,0.330216801506018,0.494712715564232,0.0990095736281175,0.1455431746687
"SP3","turquoise",-0.587742932829338,0.544366998383954,0.0262134758207687,-0.0677926284142823,-0.636713107759337,-0.393885944847977,-0.00688434914913334,-0.50983300673357,0.105931666765677,0.671891418423126,-0.653048886072486
"GPX7","turquoise",-0.349813030577374,0.518478402575612,0.417878247214126,0.236188234128355,-0.481318716801392,-0.538329024276163,0.172362095769724,-0.111116822418029,-0.20852845832789,0.15230249364642,-0.0382641841431566
"TTC9","turquoise",-0.668218715527758,0.677131164166846,0.0568058119754347,-0.171001283318256,-0.676002530220658,-0.477808474046866,0.698547887403629,0.29292649074598,0.171298787587904,0.148444766935593,0.325423988520507
"MAPK8IP3","turquoise",-0.655615479394867,0.602478276473354,0.043319482518624,-0.314954295533671,-0.656363368532818,-0.339601780836391,0.534741179815116,0.0418178502839894,0.311104129329582,0.48234261097048,-0.00619306276565662
"CDKN1C","green",0.0441368511308055,-0.316593199082425,-0.528481767821528,-0.480558137764456,0.157677021048723,0.552509536701133,0.313075215254157,0.477949565762899,0.62652004479477,0.237808690999156,0.0913198954712167
"SENP5","yellow",0.135347341015618,-0.321085505771759,-0.450483864559605,-0.597578776066384,0.178463626033499,0.619588576586254,0.506464130041949,0.757257236122773,0.700354015224393,0.135313221087258,0.377031642814653
"KATNIP","yellow",0.231602638888685,-0.488546147973777,-0.62132549370831,-0.73359639764501,0.328335483421588,0.82032374241641,0.15524047971725,0.342330013099015,0.765193006274306,0.295367244406924,0.010672583926822
"RIOX2","grey",-0.111651547474005,0.14148058341245,-0.0266126452880093,0.122706325704008,-0.104456008341485,-0.174750675361068,-0.0479589889315709,-0.231571158123672,-0.176079387335828,0.108117519814944,-0.147804832424536
"COG7","yellow",0.420088700332734,-0.483547343135761,-0.176457349431087,-0.118161540108738,0.449498594000979,0.470730718487348,-0.411114062751079,-0.123453926310582,0.122304481776729,0.070875185924667,-0.305527112894524
"TICAM1","grey",-0.0470534256326278,0.0306148553443331,-0.0430518171529074,-0.218777962026342,-0.0474831901893439,0.0587817760910591,0.165293608091985,0.173343333904109,0.173896201727152,0.105349099940582,0.0869759994814227
"THAP3","grey",-0.00832303246701823,-0.0348762178380774,-0.0378456087359854,-0.140993124467814,0.00498904295401296,0.0866412445049939,0.305012937581604,0.325016352256702,0.176034902309972,0.0369487680642815,0.225256368818534
"ROBO1","turquoise",-0.643115006533583,0.630621739898082,-0.0348555441861376,-0.349956773261549,-0.718282772936673,-0.344531278908943,0.219533338930113,-0.29880648136423,0.306292658387431,0.61063927867009,-0.370242641175579
"LYRM9","turquoise",-0.745590356910913,0.739936169170026,0.163685167908345,-0.224553349628611,-0.766125850193341,-0.491456668142235,0.673918074892724,0.168768537865733,0.236798481233506,0.360524369422685,0.156158755618557
"ZNF629","red",0.18233974884152,-0.18578794306217,-0.13043616132789,-0.317261676988293,0.211029585900414,0.343832273009881,0.416124072703378,0.69276572149412,0.346971391354829,-0.27350413293903,0.653008387509375
"ASTN1","grey",0.0273652465094138,-0.017180210211153,-0.065108158934356,0.0159753889011509,0.0808105082021593,0.0963613610541144,0.291173985609481,0.328736242393779,0.0575918887532892,-0.0792464865326446,0.307316704586668
"C2CD3","green",-0.220759213101677,0.0587521277591837,-0.38805247097653,-0.551372635852998,-0.204663284052884,0.287978658759325,0.417597377811529,0.21226695050175,0.634496573691679,0.556435958664303,-0.114877412966979
"SYP","grey",0.0273255099307848,0.107702486794071,0.141074519421908,0.312444606848526,-0.0234702533379986,-0.183495521470456,0.057830522675518,0.0114696344494444,-0.237735446524459,-0.125642935518156,0.0852637071762341
"TNNT1","turquoise",-0.542391123939878,0.637680621597277,0.273543461457569,-0.152595135086861,-0.593205598526702,-0.509251024803428,0.525267655932669,0.181823517279547,0.0467283426461982,0.0349615487342296,0.355961222263003
"SETD1A","grey",-0.0329690994842236,-0.0581388601595392,-0.289363766611395,-0.464704330814118,0.0382742278580222,0.241902688162669,-0.0151748849652985,-0.162081734602221,0.30482402916267,0.206299961545107,-0.0665756855700334
"SNAPC5","yellow",0.452535804126743,-0.615241010633035,-0.51399962856729,-0.471261543721287,0.48165124525615,0.784219632750172,-0.134409252486868,0.1914524086813,0.505303982282788,0.130854252822114,-0.116290416671008
"CUL9","green",-0.394626428288635,0.242509364776878,-0.302016693124051,-0.634769509512212,-0.336925496508407,0.12724392914878,0.463616021238911,0.133324348722775,0.617337310225129,0.513235867290794,-0.0359217772451804
"RAD54L2","yellow",-0.120088674753163,-0.0792410108011392,-0.444255338509902,-0.480326810994826,-0.0154615602466024,0.320378235291004,0.27887539582803,0.215588497175435,0.514209781210552,0.322495541590317,0.00656577969385992
"BICRAL","grey",-0.253667060277956,0.167594429460115,-0.0712609246401773,0.0339490224212515,-0.241316461772821,-0.150921356536522,-0.141880503400271,-0.364752738943117,0.0277747936817079,0.418050346706182,-0.511326897028318
"TAF6L","grey",0.23940228719694,-0.173562203106547,-0.071017104551977,-0.11725570944781,0.264159733800037,0.197740452675978,-0.0037692610789774,0.00161944087967,0.000447657853045267,0.00629599336457178,0.0933780481621607
"GOLGA6L5P","magenta",-0.417055343543059,0.302296866952876,-0.261449598682788,-0.546239616389799,-0.444779746888823,0.0453202759968096,0.132245244170307,-0.273458916140874,0.50696665003925,0.834832728656518,-0.546095474617317
"DIDO1","turquoise",-0.742796125642955,0.67418283565374,-0.0556582491875318,-0.428370528046584,-0.720854511795211,-0.343394724197048,0.400344500179871,-0.185959317746487,0.374353713701079,0.611530233161549,-0.207908771327435
"OTUD3","turquoise",-0.647403329869328,0.670303448318822,0.146361151635545,-0.00188069557037456,-0.645163290706028,-0.533509056380292,0.582100888179039,0.160957713918374,0.033379537402096,0.193169716116579,0.191864795021827
"ADCY2","yellow",0.377280640055352,-0.624751978716748,-0.662982871506707,-0.599208640737165,0.453701283948597,0.87809445015427,0.0243731731271234,0.362846877679936,0.668950077208301,0.144500628400296,-0.00698676049044274
"ZSCAN26","grey",-0.101262514793643,-0.00615770333332144,-0.287079801400487,-0.256226300437848,-0.107788208845115,0.180565508831937,0.257184435673714,0.182309256747504,0.373356068540987,0.437669906181139,-0.17002991388528
"BBIP1","green",-0.0942989401382728,-0.118867246189279,-0.490493490674243,-0.464354577010043,-0.090437603558211,0.429732219582556,0.214764814293977,0.188914531088408,0.617317473026331,0.476064452890327,-0.240734174295323
"SIK2","turquoise",-0.550812145949168,0.542529153157883,-0.0415504751920962,-0.326445850535916,-0.593899360433435,-0.274006299541897,0.281398576716389,-0.266637119652922,0.256064756182788,0.601601863196604,-0.316165251383188
"PDE8B","blue",0.0125743507062351,0.0151567181845984,0.0937474743823422,-0.0433539505597659,0.0660846926744768,0.048014793024835,0.360717238587468,0.440385913785822,0.0542803864159698,-0.230832575872326,0.507877328776092
"CDR2L","green",-0.084072909856426,-0.125527442505183,-0.577687271697507,-0.576736971583506,-0.0526672049209588,0.462246517379792,0.208957265972709,0.194523324037093,0.66955814778381,0.460602723294744,-0.206974325654652
"DMWD","yellow",0.530247948484172,-0.601339118787945,-0.322171083265804,-0.397988379920417,0.619645698709082,0.687918164767476,0.0564393787161039,0.467166335751739,0.319335587731753,-0.208992027926427,0.403413242347241
"FAM234B","turquoise",-0.662709070907327,0.70948368861378,0.271147947144253,0.0369954104338954,-0.656846248986472,-0.623428467784637,0.47967011699146,-0.00234777899448242,-0.0733059497858276,0.14971361384966,0.163263730761876
"KNOP1","brown",0.504667856297274,-0.567385376654963,-0.286534756481312,-0.0899059175729392,0.588996586108864,0.505233043790819,-0.212714848955603,0.0797339032434312,0.0658330560342959,-0.23323625357626,0.113796360282832
"SASH1","green",0.145499623189957,-0.320059680581727,-0.420721135556111,-0.692669618186382,0.201950071864128,0.6106777826861,0.00610776879869582,0.0766897553191312,0.593981094292873,0.313514570935383,-0.101360087374098
"ATP10D","turquoise",-0.54009242779765,0.585686790954272,0.156685784935651,0.097192763788377,-0.599872894614202,-0.528350669023701,-0.0727934636615122,-0.565453428586878,-0.135779081542686,0.379109128360526,-0.472178065189042
"PIBF1","yellow",0.33177583049023,-0.518526236643123,-0.463152739031542,-0.18198969957991,0.409874938218821,0.579687976025947,-0.236173575615851,0.0190740816623593,0.313413959652129,0.214637694342376,-0.289140689650493
"KRT4","blue",-0.283571399648654,0.329435075946613,0.19739646063309,-0.218119780138716,-0.286361658256502,-0.187226621995363,0.521837254973851,0.433869729846708,0.172628336351804,-0.0492769426855852,0.489759494395489
"CEP170B","yellow",0.292815844949969,-0.570596327287529,-0.710303543650936,-0.697352072250185,0.421955070104529,0.842403006491247,0.000414899336292087,0.216445402835955,0.681038184542466,0.229138521927328,-0.0621410990721395
"VPS13B","turquoise",-0.340037116966899,0.337787191963602,0.138737773232319,0.0870935378584171,-0.399876189520851,-0.299941192035148,-0.0277071506741856,-0.303307706912447,-0.0334619213345824,0.410250232668747,-0.413994639678932
"SCAMP4","brown",0.592016308750678,-0.638924647530457,-0.213818013070397,0.0667656410816265,0.724045766546334,0.439577346984047,-0.431665313386747,-0.0380188710975802,-0.150759665725298,-0.421362385300464,0.129745444462698
"ADCY1","turquoise",-0.173894362438092,0.34867787899332,0.456551005564316,0.475487887062172,-0.181557715670054,-0.537717128383086,0.129289209352106,0.0369773679518905,-0.471470494092429,-0.279499253389209,0.254066578026482
"LYSET","pink",0.446940761482776,-0.260633147739945,0.373525924869833,0.802811472730475,0.406178502435535,-0.173645785749444,-0.680295706086735,-0.395723168227348,-0.741666431186087,-0.532771850010107,-0.162148392616068
"SVEP1","turquoise",-0.846677216257562,0.907203484103587,0.248789211150624,-0.105693902139265,-0.877754317535633,-0.700800054019057,0.653501748223488,0.0747478265476502,0.0880695685515323,0.300611598943569,0.166654237279788
"LOC730101","turquoise",-0.271738913378944,0.340105660805987,0.145992933893865,0.15804896699944,-0.258264925566806,-0.35576735792286,0.130784451457626,-0.135825867282406,-0.175984009041313,0.0988939206706134,-0.0195103346099743
"FBXL7","turquoise",-0.390812943942293,0.576686709570322,0.62071754885304,0.46931617230032,-0.445773060904779,-0.73469500265838,0.157736631213668,-0.103516552205896,-0.479701420919084,-0.0819556774614854,0.0991863119003611
"TNRC6B","brown",0.57734387244103,-0.528590851321045,0.0244884339047926,0.0619283729061655,0.577632327078893,0.397442407267003,-0.16340280963723,0.3546723983722,-0.0367830052075118,-0.426624322238149,0.313331612660789
"MARCHF3","turquoise",-0.501881936564427,0.552058097722854,0.122492873755737,0.0279445592794735,-0.490980865880497,-0.479758847261549,0.278341605530892,-0.161157793086856,-0.0807478746266291,0.11165712879775,0.0350998110097542
